status,eligible_for_model_training,purpose,candidate_id,venue_code,equipment_type,equipment_number,equipment_number_scope,generation_start_date_candidate,generation_end_date_candidate,evidence_level,evidence_ids,first_local_observed_date,last_local_observed_date,pre_boundary_observation_exists,post_boundary_observation_exists,local_rows_covered,local_races_covered,historical_period_unresolved,generation_id_candidate_from_package,formal_generation_id_issued,local_reconciliation_status,gate1_action
provisional,false,official_evidence_import_sidecar_only,GENCAND:01:motor:20231228,01,motor,,all numbers in the venue generation; materialize per observed number after date join,2023-12-28,2025-12-26,B,EV040,2023-09-05,2026-07-18,true,true,65,4080,true,01_motor_{equipment_number}_20231228,false,matched_candidate_scope_all_observed_numbers,planned_not_applied_requires_gate1_reaudit
provisional,false,official_evidence_import_sidecar_only,GENCAND:01:motor:20251227,01,motor,,all numbers in the venue generation; materialize per observed number after date join,2025-12-27,,B,EV001,2023-09-05,2026-07-18,true,true,65,1488,true,01_motor_{equipment_number}_20251227,false,matched_candidate_scope_all_observed_numbers,planned_not_applied_requires_gate1_reaudit
provisional,false,official_evidence_import_sidecar_only,GENCAND:02:boat:20250806,02,boat,,all numbers in the venue generation; materialize per observed number after date join,2025-08-06,,A,EV003,2023-09-01,2026-07-18,true,true,67,2172,true,02_boat_{equipment_number}_20250806,false,matched_candidate_scope_all_observed_numbers,planned_not_applied_requires_gate1_reaudit
provisional,false,official_evidence_import_sidecar_only,GENCAND:02:motor:20250806,02,motor,,all numbers in the venue generation; materialize per observed number after date join,2025-08-06,,A,EV003,2023-09-01,2026-07-18,true,true,65,2172,true,02_motor_{equipment_number}_20250806,false,matched_candidate_scope_all_observed_numbers,planned_not_applied_requires_gate1_reaudit
provisional,false,official_evidence_import_sidecar_only,GENCAND:03:boat:20250506,03,boat,,all numbers in the venue generation; materialize per observed number after date join,2025-05-06,2026-05-10,A,EV041,2023-09-02,2026-07-16,true,true,60,2304,true,03_boat_{equipment_number}_20250506,false,matched_candidate_scope_all_observed_numbers,planned_not_applied_requires_gate1_reaudit
provisional,false,official_evidence_import_sidecar_only,GENCAND:03:boat:20260511,03,boat,,all numbers in the venue generation; materialize per observed number after date join,2026-05-11,,A,EV004,2023-09-02,2026-07-16,true,true,60,420,true,03_boat_{equipment_number}_20260511,false,matched_candidate_scope_all_observed_numbers,planned_not_applied_requires_gate1_reaudit
provisional,false,official_evidence_import_sidecar_only,GENCAND:03:motor:20250506,03,motor,,all numbers in the venue generation; materialize per observed number after date join,2025-05-06,2026-05-10,A,EV041,2023-09-02,2026-07-16,true,true,60,2304,true,03_motor_{equipment_number}_20250506,false,matched_candidate_scope_all_observed_numbers,planned_not_applied_requires_gate1_reaudit
provisional,false,official_evidence_import_sidecar_only,GENCAND:03:motor:20260511,03,motor,,all numbers in the venue generation; materialize per observed number after date join,2026-05-11,,A,EV004,2023-09-02,2026-07-16,true,true,60,420,true,03_motor_{equipment_number}_20260511,false,matched_candidate_scope_all_observed_numbers,planned_not_applied_requires_gate1_reaudit
provisional,false,official_evidence_import_sidecar_only,GENCAND:04:boat:20260618,04,boat,,all numbers in the venue generation; materialize per observed number after date join,2026-06-18,,A,EV005,2023-09-06,2026-07-18,true,true,65,240,true,04_boat_{equipment_number}_20260618,false,matched_candidate_scope_all_observed_numbers,planned_not_applied_requires_gate1_reaudit
provisional,false,official_evidence_import_sidecar_only,GENCAND:04:motor:20260618,04,motor,,all numbers in the venue generation; materialize per observed number after date join,2026-06-18,,A,EV005,2023-09-06,2026-07-18,true,true,65,240,true,04_motor_{equipment_number}_20260618,false,matched_candidate_scope_all_observed_numbers,planned_not_applied_requires_gate1_reaudit
