evidence_batch_id,venue_code,venue_name,equipment_type,candidate_period_start,candidate_period_end,equipment_key_count,affected_race_count_total,affected_boat_row_count_total,official_evidence_status,highest_evidence_level,exact_boundary_candidate_count,known_boundary_dates,current_generation_start_date,current_generation_evidence_level,full_batch_boundary_coverage,unresolved_period_start,unresolved_period_end,race_level_materialization_required,research_unlock_candidate,blocked_hypothesis_ids,generation_id_issued,notes,evidence_ids,current_generation_evidence_ids
EBATCH:01:boat:c8b55cbe21d0,01,桐生,boat,2023-09-05,2026-07-18,65,6228,37368,official_evidence_partial_c_only,C,0,,,C,false,2023-09-05,2026-07-18,true,no_A_or_B_boundary_candidate,H004;H005;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV002,EV002
EBATCH:01:motor:28c1e578fcc1,01,桐生,motor,2023-09-05,2026-07-18,65,6228,37368,official_evidence_partial,B,2,2023-12-28;2025-12-27,2025-12-27,B,false,2023-09-05,2023-12-27,true,current_and_known_historical_slices_candidate,H004;H005;H007;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV001;EV040,EV001
EBATCH:02:boat:25ce019ef28c,02,戸田,boat,2023-09-01,2026-07-18,67,6408,38448,official_evidence_partial,A,1,2025-08-06,2025-08-06,A,false,2023-09-01,2025-08-05,true,current_and_known_historical_slices_candidate,H004;H005;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV003,EV003
EBATCH:02:motor:e2ac07487182,02,戸田,motor,2023-09-01,2026-07-18,65,6408,38448,official_evidence_partial,A,1,2025-08-06,2025-08-06,A,false,2023-09-01,2025-08-05,true,current_and_known_historical_slices_candidate,H004;H005;H007;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV003,EV003
EBATCH:03:boat:df6c66590237,03,江戸川,boat,2023-09-02,2026-07-16,60,6216,36648,official_evidence_partial,A,2,2025-05-06;2026-05-11,2026-05-11,A,false,2023-09-02,2025-05-05,true,current_and_known_historical_slices_candidate,H004;H005;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV004;EV041,EV004
EBATCH:03:motor:0da266669269,03,江戸川,motor,2023-09-02,2026-07-16,60,6216,36648,official_evidence_partial,A,2,2025-05-06;2026-05-11,2026-05-11,A,false,2023-09-02,2025-05-05,true,current_and_known_historical_slices_candidate,H004;H005;H007;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV004;EV041,EV004
EBATCH:04:boat:718b10f2b7b9,04,平和島,boat,2023-09-06,2026-07-18,65,5712,34272,official_evidence_partial,A,1,2026-06-18,2026-06-18,A,false,2023-09-06,2026-06-17,true,current_and_known_historical_slices_candidate,H004;H005;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV005,EV005
EBATCH:04:motor:54af06a12621,04,平和島,motor,2023-09-06,2026-07-18,65,5712,34272,official_evidence_partial,A,1,2026-06-18,2026-06-18,A,false,2023-09-06,2026-06-17,true,current_and_known_historical_slices_candidate,H004;H005;H007;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV005,EV005
EBATCH:05:boat:dd073781a783,05,多摩川,boat,2023-09-05,2026-07-16,67,6036,36216,official_evidence_partial,A,1,2026-04-18,2026-04-18,A,false,2023-09-05,2026-04-17,true,current_and_known_historical_slices_candidate,H004;H005;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV007,EV007
EBATCH:05:motor:d05ae8e7ccb5,05,多摩川,motor,2023-09-05,2026-07-16,65,6036,36216,official_evidence_partial,A,1,2026-04-18,2026-04-18,A,false,2023-09-05,2026-04-17,true,current_and_known_historical_slices_candidate,H004;H005;H007;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV006,EV006
EBATCH:06:boat:99be39893377,06,浜名湖,boat,2023-09-01,2026-07-15,65,6432,38592,official_evidence_partial,A,1,2025-10-08,2025-10-08,A,false,2023-09-01,2025-10-07,true,current_and_known_historical_slices_candidate,H004;H005;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV009,EV009
EBATCH:06:motor:f814297a44fc,06,浜名湖,motor,2023-09-01,2026-07-15,65,6432,38592,official_evidence_partial,A,1,2026-04-09,2026-04-09,A,false,2023-09-01,2026-04-08,true,current_and_known_historical_slices_candidate,H004;H005;H007;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV008,EV008
EBATCH:07:boat:ad4f5e5feeba,07,蒲郡,boat,2023-09-01,2026-07-18,65,6468,38808,official_evidence_found_full_period,A,2,2023-07-07;2025-07-19,2025-07-19,A,true,,,true,full_batch_boundary_map_candidate,H004;H005;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV010;EV042,EV010
EBATCH:07:motor:19b8135bc000,07,蒲郡,motor,2023-09-01,2026-07-18,65,6468,38808,official_evidence_found_full_period,A,2,2023-07-07;2025-07-19,2025-07-19,A,true,,,true,full_batch_boundary_map_candidate,H004;H005;H007;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV010;EV042,EV010
EBATCH:08:boat:a724bab64dd6,08,常滑,boat,2023-09-01,2026-07-18,68,6600,39600,official_evidence_partial,A,1,2026-06-29,2026-06-29,A,false,2023-09-01,2026-06-28,true,current_and_known_historical_slices_candidate,H004;H005;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV012,EV012
EBATCH:08:motor:ef58f45086c9,08,常滑,motor,2023-09-01,2026-07-18,62,6600,39600,official_evidence_partial,A,1,2025-11-11,2025-11-11,A,false,2023-09-01,2025-11-10,true,current_and_known_historical_slices_candidate,H004;H005;H007;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV011,EV011
EBATCH:09:boat:fe78c723dc71,09,津,boat,2023-12-16,2026-07-18,65,5940,35640,official_evidence_partial,A,1,2025-12-22,2025-12-22,A,false,2023-12-16,2025-12-21,true,current_and_known_historical_slices_candidate,H004;H005;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV014,EV014
EBATCH:09:motor:2b2605fc4a34,09,津,motor,2023-12-16,2026-07-18,65,5940,35640,official_evidence_partial,A,1,2025-12-22,2025-12-22,A,false,2023-12-16,2025-12-21,true,current_and_known_historical_slices_candidate,H004;H005;H007;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV013,EV013
EBATCH:10:boat:8b35898c046d,10,三国,boat,2023-09-01,2026-07-18,64,6204,36864,official_evidence_partial,B,1,2026-03-07,2026-03-07,B,false,2023-09-01,2026-03-06,true,current_and_known_historical_slices_candidate,H004;H005;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV015,EV015
EBATCH:10:motor:b7c66cd9769f,10,三国,motor,2023-09-01,2026-07-18,64,6204,36864,official_evidence_partial,B,1,2026-03-07,2026-03-07,B,false,2023-09-01,2026-03-06,true,current_and_known_historical_slices_candidate,H004;H005;H007;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV015,EV015
EBATCH:11:boat:f1cec0ab6f72,11,びわこ,boat,2023-09-03,2026-07-18,62,5940,35640,official_evidence_partial,A,1,2026-04-08,2026-04-08,A,false,2023-09-03,2026-04-07,true,current_and_known_historical_slices_candidate,H004;H005;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV016,EV016
EBATCH:11:motor:28395480d127,11,びわこ,motor,2023-09-03,2026-07-18,62,5940,35640,official_evidence_partial,A,1,2026-04-08,2026-04-08,A,false,2023-09-03,2026-04-07,true,current_and_known_historical_slices_candidate,H004;H005;H007;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV016,EV016
EBATCH:12:boat:6c2a3a5379c7,12,住之江,boat,2023-09-03,2026-07-18,76,6336,38016,official_evidence_partial,A,1,2026-03-23,2026-03-23,A,false,2023-09-03,2026-03-22,true,current_and_known_historical_slices_candidate,H004;H005;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV018,EV018
EBATCH:12:motor:d70b31025705,12,住之江,motor,2023-09-03,2026-07-18,71,6336,38016,official_evidence_partial,A,1,2026-03-23,2026-03-23,A,false,2023-09-03,2026-03-22,true,current_and_known_historical_slices_candidate,H004;H005;H007;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV017,EV017
EBATCH:13:boat:42621e2fe40d,13,尼崎,boat,2023-09-01,2026-07-18,65,5952,35568,official_evidence_partial,A,1,2026-04-17,2026-04-17,A,false,2023-09-01,2026-04-16,true,current_and_known_historical_slices_candidate,H004;H005;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV020,EV020
EBATCH:13:motor:d240f24e683e,13,尼崎,motor,2023-09-01,2026-07-18,63,5952,35568,official_evidence_partial,A,1,2026-04-17,2026-04-17,A,false,2023-09-01,2026-04-16,true,current_and_known_historical_slices_candidate,H004;H005;H007;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV019,EV019
EBATCH:14:boat:0af68bcf49fb,14,鳴門,boat,2023-09-03,2026-07-13,65,5808,34848,official_evidence_partial,A,1,2026-04-11,2026-04-11,A,false,2023-09-03,2026-04-10,true,current_and_known_historical_slices_candidate,H004;H005;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV022,EV022
EBATCH:14:motor:8c70a52707a0,14,鳴門,motor,2023-09-03,2026-07-13,65,5808,34848,official_evidence_partial,A,1,2026-04-11,2026-04-11,A,false,2023-09-03,2026-04-10,true,current_and_known_historical_slices_candidate,H004;H005;H007;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV021,EV021
EBATCH:15:boat:c03bca866a39,15,丸亀,boat,2023-09-25,2026-07-14,65,6612,39672,official_evidence_partial,A,1,2026-07-09,2026-07-09,A,false,2023-09-25,2026-07-08,true,current_and_known_historical_slices_candidate,H004;H005;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV024,EV024
EBATCH:15:motor:a33d71edc25a,15,丸亀,motor,2023-09-25,2026-07-14,65,6612,39672,official_evidence_partial,A,1,2025-09-03,2025-09-03,A,false,2023-09-25,2025-09-02,true,current_and_known_historical_slices_candidate,H004;H005;H007;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV023,EV023
EBATCH:16:boat:f682d842f4c2,16,児島,boat,2023-09-01,2026-07-18,65,6084,36504,official_evidence_partial,A,1,2025-12-17,2025-12-17,A,false,2023-09-01,2025-12-16,true,current_and_known_historical_slices_candidate,H004;H005;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV025,EV025
EBATCH:16:motor:02400f103ec9,16,児島,motor,2023-09-01,2026-07-18,62,6084,36504,official_evidence_partial,A,1,2025-12-17,2025-12-17,A,false,2023-09-01,2025-12-16,true,current_and_known_historical_slices_candidate,H004;H005;H007;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV025,EV025
EBATCH:17:boat:9681773850c1,17,宮島,boat,2023-09-03,2026-07-18,71,6516,39096,official_evidence_partial,A,2,2024-10-20;2025-10-19,2025-10-19,A,false,2023-09-03,2024-10-19,true,current_and_known_historical_slices_candidate,H004;H005;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV026;EV043,EV026
EBATCH:17:motor:27ed24fcff06,17,宮島,motor,2023-09-03,2026-07-18,68,6516,39096,official_evidence_partial,A,2,2024-10-20;2025-10-19,2025-10-19,A,false,2023-09-03,2024-10-19,true,current_and_known_historical_slices_candidate,H004;H005;H007;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV026;EV043,EV026
EBATCH:18:boat:05fc72644e85,18,徳山,boat,2023-09-01,2026-07-18,67,6072,36432,official_evidence_partial,A,1,2025-11-04,2025-11-04,A,false,2023-09-01,2025-11-03,true,current_and_known_historical_slices_candidate,H004;H005;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV028,EV028
EBATCH:18:motor:8e767b3a1c95,18,徳山,motor,2023-09-01,2026-07-18,65,6072,36432,official_evidence_partial,A,1,2026-04-20,2026-04-20,A,false,2023-09-01,2026-04-19,true,current_and_known_historical_slices_candidate,H004;H005;H007;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV027,EV027
EBATCH:19:boat:db8900ddf085,19,下関,boat,2023-09-01,2026-07-13,65,6024,36144,official_evidence_partial,A,1,2026-04-29,2026-04-29,A,false,2023-09-01,2026-04-28,true,current_and_known_historical_slices_candidate,H004;H005;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV030,EV030
EBATCH:19:motor:541b3494cd16,19,下関,motor,2023-09-01,2026-07-13,65,6024,36144,official_evidence_partial,A,1,2026-04-29,2026-04-29,A,false,2023-09-01,2026-04-28,true,current_and_known_historical_slices_candidate,H004;H005;H007;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV029,EV029
EBATCH:20:boat:7bf6fc12ca7e,20,若松,boat,2023-09-01,2026-07-18,65,6312,37800,official_evidence_partial,A,1,2026-06-11,2026-06-11,A,false,2023-09-01,2026-06-10,true,current_and_known_historical_slices_candidate,H004;H005;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV032,EV032
EBATCH:20:motor:a8f76e35a50b,20,若松,motor,2023-09-01,2026-07-18,62,6312,37800,official_evidence_partial,A,1,2025-11-26,2025-11-26,A,false,2023-09-01,2025-11-25,true,current_and_known_historical_slices_candidate,H004;H005;H007;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV031,EV031
EBATCH:21:boat:40fafd94d0e0,21,芦屋,boat,2023-09-07,2026-07-18,125,6252,37512,official_evidence_partial,A,1,2026-04-16,2026-04-16,A,false,2023-09-07,2026-04-15,true,current_and_known_historical_slices_candidate,H004;H005;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV034,EV034
EBATCH:21:motor:6579257cb563,21,芦屋,motor,2023-09-07,2026-07-18,65,6252,37512,official_evidence_partial,A,1,2026-04-16,2026-04-16,A,false,2023-09-07,2026-04-15,true,current_and_known_historical_slices_candidate,H004;H005;H007;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV033,EV033
EBATCH:22:boat:a0c2dfae3003,22,福岡,boat,2023-09-01,2026-07-15,74,6048,36288,official_evidence_partial,A,1,2026-02-18,2026-02-18,A,false,2023-09-01,2026-02-17,true,current_and_known_historical_slices_candidate,H004;H005;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV035,EV035
EBATCH:22:motor:9ea47ee47eca,22,福岡,motor,2023-09-01,2026-07-15,65,6048,36288,official_evidence_partial,A,1,2026-02-18,2026-02-18,A,false,2023-09-01,2026-02-17,true,current_and_known_historical_slices_candidate,H004;H005;H007;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV035,EV035
EBATCH:23:boat:98cf8cfbc0fd,23,唐津,boat,2023-09-01,2026-07-15,90,6132,36792,official_evidence_partial,A,1,2026-03-17,2026-03-17,A,false,2023-09-01,2026-03-16,true,current_and_known_historical_slices_candidate,H004;H005;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV037,EV037
EBATCH:23:motor:0c2bc574b866,23,唐津,motor,2023-09-01,2026-07-15,70,6132,36792,official_evidence_partial,A,1,2025-09-05,2025-09-05,A,false,2023-09-01,2025-09-04,true,current_and_known_historical_slices_candidate,H004;H005;H007;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV036,EV036
EBATCH:24:boat:7bbf9ec928d9,24,大村,boat,2023-09-01,2026-07-17,75,6624,39744,official_evidence_partial,B,1,2026-05-24,2026-05-24,B,false,2023-09-01,2026-05-23,true,current_and_known_historical_slices_candidate,H004;H005;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV038,EV038
EBATCH:24:motor:2380d2b68852,24,大村,motor,2023-09-01,2026-07-17,70,6624,39744,official_evidence_partial,A,1,2026-05-24,2026-05-24,A,false,2023-09-01,2026-05-23,true,current_and_known_historical_slices_candidate,H004;H005;H007;H021;H033,false,Boundary evidence only; exact race/key counts require Gate 1 race-date and equipment-number materialization.,EV038;EV039,EV039;EV038
