candidate_id,venue_code,venue_name,equipment_type,equipment_number_scope,generation_start_date,generation_end_date_if_known,end_date_derivation,generation_role,boundary_confidence,evidence_ids,affected_evidence_batch_id,batch_period_start,batch_period_end,candidate_period_relation,generation_id_candidate_template,generation_id_issued,materialization_status,validation_status,notes
GENCAND:01:motor:20231228,01,桐生,motor,all numbers in the venue generation; materialize per observed number after date join,2023-12-28,2025-12-26,day_before_next_exact_A_or_B_start,historical,B,EV040,EBATCH:01:motor:28c1e578fcc1,2023-09-05,2026-07-18,starts_within_batch,01_motor_{equipment_number}_20231228,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:01:motor:20251227,01,桐生,motor,all numbers in the venue generation; materialize per observed number after date join,2025-12-27,,,current,B,EV001,EBATCH:01:motor:28c1e578fcc1,2023-09-05,2026-07-18,starts_within_batch,01_motor_{equipment_number}_20251227,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:02:boat:20250806,02,戸田,boat,all numbers in the venue generation; materialize per observed number after date join,2025-08-06,,,current,A,EV003,EBATCH:02:boat:25ce019ef28c,2023-09-01,2026-07-18,starts_within_batch,02_boat_{equipment_number}_20250806,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:02:motor:20250806,02,戸田,motor,all numbers in the venue generation; materialize per observed number after date join,2025-08-06,,,current,A,EV003,EBATCH:02:motor:e2ac07487182,2023-09-01,2026-07-18,starts_within_batch,02_motor_{equipment_number}_20250806,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:03:boat:20250506,03,江戸川,boat,all numbers in the venue generation; materialize per observed number after date join,2025-05-06,2026-05-10,day_before_next_exact_A_or_B_start,historical,A,EV041,EBATCH:03:boat:df6c66590237,2023-09-02,2026-07-16,starts_within_batch,03_boat_{equipment_number}_20250506,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:03:boat:20260511,03,江戸川,boat,all numbers in the venue generation; materialize per observed number after date join,2026-05-11,,,current,A,EV004,EBATCH:03:boat:df6c66590237,2023-09-02,2026-07-16,starts_within_batch,03_boat_{equipment_number}_20260511,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:03:motor:20250506,03,江戸川,motor,all numbers in the venue generation; materialize per observed number after date join,2025-05-06,2026-05-10,day_before_next_exact_A_or_B_start,historical,A,EV041,EBATCH:03:motor:0da266669269,2023-09-02,2026-07-16,starts_within_batch,03_motor_{equipment_number}_20250506,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:03:motor:20260511,03,江戸川,motor,all numbers in the venue generation; materialize per observed number after date join,2026-05-11,,,current,A,EV004,EBATCH:03:motor:0da266669269,2023-09-02,2026-07-16,starts_within_batch,03_motor_{equipment_number}_20260511,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:04:boat:20260618,04,平和島,boat,all numbers in the venue generation; materialize per observed number after date join,2026-06-18,,,current,A,EV005,EBATCH:04:boat:718b10f2b7b9,2023-09-06,2026-07-18,starts_within_batch,04_boat_{equipment_number}_20260618,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:04:motor:20260618,04,平和島,motor,all numbers in the venue generation; materialize per observed number after date join,2026-06-18,,,current,A,EV005,EBATCH:04:motor:54af06a12621,2023-09-06,2026-07-18,starts_within_batch,04_motor_{equipment_number}_20260618,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:05:boat:20260418,05,多摩川,boat,all numbers in the venue generation; materialize per observed number after date join,2026-04-18,,,current,A,EV007,EBATCH:05:boat:dd073781a783,2023-09-05,2026-07-16,starts_within_batch,05_boat_{equipment_number}_20260418,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:05:motor:20260418,05,多摩川,motor,all numbers in the venue generation; materialize per observed number after date join,2026-04-18,,,current,A,EV006,EBATCH:05:motor:d05ae8e7ccb5,2023-09-05,2026-07-16,starts_within_batch,05_motor_{equipment_number}_20260418,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:06:boat:20251008,06,浜名湖,boat,all numbers in the venue generation; materialize per observed number after date join,2025-10-08,,,current,A,EV009,EBATCH:06:boat:99be39893377,2023-09-01,2026-07-15,starts_within_batch,06_boat_{equipment_number}_20251008,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:06:motor:20260409,06,浜名湖,motor,all numbers in the venue generation; materialize per observed number after date join,2026-04-09,,,current,A,EV008,EBATCH:06:motor:f814297a44fc,2023-09-01,2026-07-15,starts_within_batch,06_motor_{equipment_number}_20260409,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:07:boat:20230707,07,蒲郡,boat,all numbers in the venue generation; materialize per observed number after date join,2023-07-07,2025-07-18,day_before_next_exact_A_or_B_start,historical,A,EV042,EBATCH:07:boat:ad4f5e5feeba,2023-09-01,2026-07-18,covers_from_or_before_batch_start,07_boat_{equipment_number}_20230707,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:07:boat:20250719,07,蒲郡,boat,all numbers in the venue generation; materialize per observed number after date join,2025-07-19,,,current,A,EV010,EBATCH:07:boat:ad4f5e5feeba,2023-09-01,2026-07-18,starts_within_batch,07_boat_{equipment_number}_20250719,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:07:motor:20230707,07,蒲郡,motor,all numbers in the venue generation; materialize per observed number after date join,2023-07-07,2025-07-18,day_before_next_exact_A_or_B_start,historical,A,EV042,EBATCH:07:motor:19b8135bc000,2023-09-01,2026-07-18,covers_from_or_before_batch_start,07_motor_{equipment_number}_20230707,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
GENCAND:07:motor:20250719,07,蒲郡,motor,all numbers in the venue generation; materialize per observed number after date join,2025-07-19,,,current,A,EV010,EBATCH:07:motor:19b8135bc000,2023-09-01,2026-07-18,starts_within_batch,07_motor_{equipment_number}_20250719,false,requires_race_level_date_and_number_join,sidecar_candidate_only,A/B official boundary; do not write to corpus until Gate 1 materialization and overlap validation.
