followup_id,priority,venue_code,venue_name,equipment_type,unresolved_period_start,unresolved_period_end,affected_race_count_total_batch,affected_boat_row_count_total_batch,reason_code,recommended_official_evidence,suggested_search_terms,current_exact_boundaries,manual_followup_status,generation_id_issued
FOLLOW:EBATCH:01:boat:c8b55cbe21d0,P0,01,桐生,boat,2023-09-05,2026-07-18,6228,37368,staggered_per_number_start_dates_no_single_A_or_B_generation_boundary,Official replacement/introduction notice or per-number official introduction registry.,01 boat 新モーター 新ボート 使用開始,,not_started,false
FOLLOW:EBATCH:24:boat:7bbf9ec928d9,P1,24,大村,boat,2023-09-01,2026-05-23,6624,39744,historical_generation_start_not_yet_supported_by_A_or_B,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",24 boat 新モーター 新ボート 使用開始 過去 使用開始日,2026-05-24,not_started,false
FOLLOW:EBATCH:24:motor:2380d2b68852,P1,24,大村,motor,2023-09-01,2026-05-23,6624,39744,historical_generation_start_not_yet_supported_by_A_or_B,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",24 motor 新モーター 新ボート 使用開始 過去 使用開始日,2026-05-24,not_started,false
FOLLOW:EBATCH:15:boat:c03bca866a39,P1,15,丸亀,boat,2023-09-25,2026-07-08,6612,39672,historical_generation_start_not_yet_supported_by_A_or_B,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",15 boat 新モーター 新ボート 使用開始 過去 使用開始日,2026-07-09,not_started,false
FOLLOW:EBATCH:15:motor:a33d71edc25a,P1,15,丸亀,motor,2023-09-25,2025-09-02,6612,39672,historical_generation_start_not_yet_supported_by_A_or_B,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",15 motor 新モーター 新ボート 使用開始 過去 使用開始日,2025-09-03,not_started,false
FOLLOW:EBATCH:08:boat:a724bab64dd6,P1,08,常滑,boat,2023-09-01,2026-06-28,6600,39600,historical_generation_start_not_yet_supported_by_A_or_B,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",08 boat 新モーター 新ボート 使用開始 過去 使用開始日,2026-06-29,not_started,false
FOLLOW:EBATCH:08:motor:ef58f45086c9,P1,08,常滑,motor,2023-09-01,2025-11-10,6600,39600,historical_generation_start_not_yet_supported_by_A_or_B,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",08 motor 新モーター 新ボート 使用開始 過去 使用開始日,2025-11-11,not_started,false
FOLLOW:EBATCH:17:boat:9681773850c1,P1,17,宮島,boat,2023-09-03,2024-10-19,6516,39096,historical_generation_start_not_yet_supported_by_A_or_B,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",17 boat 新モーター 新ボート 使用開始 過去 使用開始日,2024-10-20;2025-10-19,not_started,false
FOLLOW:EBATCH:17:motor:27ed24fcff06,P1,17,宮島,motor,2023-09-03,2024-10-19,6516,39096,historical_generation_start_not_yet_supported_by_A_or_B,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",17 motor 新モーター 新ボート 使用開始 過去 使用開始日,2024-10-20;2025-10-19,not_started,false
FOLLOW:EBATCH:06:boat:99be39893377,P1,06,浜名湖,boat,2023-09-01,2025-10-07,6432,38592,historical_generation_start_not_yet_supported_by_A_or_B,"Official historical use-start notice, official data page archive, or official race program carrying use-start date.",06 boat 新モーター 新ボート 使用開始 過去 使用開始日,2025-10-08,not_started,false
