evidence_id,venue_code,venue_name,equipment_types,source_url,source_title,official_domain,published_at,retrieved_at,source_kind,raw_file_path,raw_sha256,evidence_level,explicit_start_date,explicit_end_date,supported_period,supported_equipment_numbers,affected_evidence_batch_ids,evidence_summary,exact_supporting_field_or_passage,ambiguity,verification_status,web_ref_id
EV001,01,桐生,motor,https://www.kiryu-kyotei.com/sp/index.php?key=357&page=raceinfo-tenbo,ボートレース桐生 レース展望（第4回ドラキリュウナイトカップ）,www.kiryu-kyotei.com,,2026-07-28T00:07:28Z,html,raw/html_extracts/EV001.txt,c8eec9584d3c0d6d76aa4e788cfcb771a0c232fb91e458774446f2fa591ed513,B,2025-12-27,,2025-12-27,all/current generation,EBATCH:01:motor:28c1e578fcc1,12月27日開始の今節から新モーターへ切り替わると公式展望が明記。,12月27日開始の今節から新モーターへ切り替わると公式展望が明記。,,verified_official_primary,turn992883view0
EV002,01,桐生,boat,https://www.kiryu-kyotei.com/sp/index.php?page=datafile-boatrank,ボートレース桐生 ボートランキング,www.kiryu-kyotei.com,,2026-07-28T00:07:28Z,html,raw/html_extracts/EV002.txt,6ae1fa16d4525f50a80385aef22a5ff52beaf2a6dc7def03c6114ac2575ff3bb,C,,,,per-number calculation periods only,EBATCH:01:boat:c8b55cbe21d0,現行ボートの算出開始日は艇ごとに2025-11-21または2025-11-29など複数。単一世代開始日は確定不能。,現行ボートの算出開始日は艇ごとに2025-11-21または2025-11-29など複数。単一世代開始日は確定不能。,Staggered per-number calculation starts; no blanket A/B boundary issued.,verified_official_primary,turn986627view2
EV003,02,戸田,motor;boat,https://www.boatrace-toda.jp/news/news.html?id=20702,新ボート・モーターの使用開始について,www.boatrace-toda.jp,2025-08-01,2026-07-28T00:07:28Z,html,raw/html_extracts/EV003.txt,ceaf4bd4cc1d7dc8f202b4ea871c8aa45fc26141be6bf023e371d3a2d74dca94,A,2025-08-06,,2025-08-06,all/current generation,EBATCH:02:motor:e2ac07487182;EBATCH:02:boat:25ce019ef28c,8月6日開始のBOATBoyカップから新ボート・モーターを使用すると公式告知。,8月6日開始のBOATBoyカップから新ボート・モーターを使用すると公式告知。,,verified_official_primary,turn686184search0
EV004,03,江戸川,motor;boat,https://www.boatrace-edogawa.com/sp/index.php?page=info-news_item&page_no=2&storyid=2893,ボート・モーターの入れ替えについて,www.boatrace-edogawa.com,2026-04-26,2026-07-28T00:07:28Z,html,raw/html_extracts/EV004.txt,3fb69b8e4abbd98a6fbadbd595588a71e0adbd23fefc30a500e1ac46fe88c583,A,2026-05-11,,2026-05-11,all/current generation,EBATCH:03:motor:0da266669269;EBATCH:03:boat:df6c66590237,5月11日開始のGII江戸川634杯から新ボート・新モーターへ変更すると公式告知。,5月11日開始のGII江戸川634杯から新ボート・新モーターへ変更すると公式告知。,,verified_official_primary,turn992883view1
EV005,04,平和島,motor;boat,https://www.heiwajima.gr.jp/pdf/heiwajima/bangumihyo/202605160504%EF%BC%A2%EF%BC%AF%EF%BC%A1%EF%BC%B4%EF%BC%A2%EF%BD%8F%EF%BD%99%E3%82%AB%E3%83%83%E3%83%97.pdf,平和島出走表4面（新モーター・新ボート案内）,www.heiwajima.gr.jp,2026-05-16,2026-07-28T00:07:28Z,pdf,raw/pdfs/heiwajima_20260618_new_motor_boat.pdf,a41e83b980498236fc3905d561e878d21b961e9a5c7d66651a5b889077932253,A,2026-06-18,,2026-06-18,all/current generation,EBATCH:04:motor:54af06a12621;EBATCH:04:boat:718b10f2b7b9,公式出走表が6月18日から新モーター・新ボート・新プロペラになると明記。,公式出走表が6月18日から新モーター・新ボート・新プロペラになると明記。,,verified_official_primary,turn992883view2
EV006,05,多摩川,motor,https://www.boatrace-tamagawa.com/sp/index.php?page=datafile-motordata,ボートレース多摩川 モーターデータ,www.boatrace-tamagawa.com,,2026-07-28T00:07:28Z,html,raw/html_extracts/EV006.txt,46230ed8d13cd8fb70428c621013e931396a234612d05275424e143cb047bbba,A,2026-04-18,,2026-04-18,all/current generation,EBATCH:05:motor:d05ae8e7ccb5,公式モーターデータが現モーターの使用開始日を2026-04-18と明記。,公式モーターデータが現モーターの使用開始日を2026-04-18と明記。,,verified_official_primary,turn956536view3
EV007,05,多摩川,boat,https://www.boatrace-tamagawa.com/sp/index.php?page=datafile-boat,ボートレース多摩川 ボートデータ,www.boatrace-tamagawa.com,,2026-07-28T00:07:28Z,html,raw/html_extracts/EV007.txt,6c4cf899c34ab33861c733d5ef74474b373ab0cbd1d3b81151276863c510ee85,A,2026-04-18,,2026-04-18,all/current generation,EBATCH:05:boat:dd073781a783,公式ボートデータが現ボートの使用開始日を2026-04-18と明記。,公式ボートデータが現ボートの使用開始日を2026-04-18と明記。,,verified_official_primary,turn956536view4
EV008,06,浜名湖,motor,https://www.boatrace-hamanako.jp/sp/index.php?page=datafile-motorrank,ボートレース浜名湖 モーターランキング,www.boatrace-hamanako.jp,,2026-07-28T00:07:28Z,html,raw/html_extracts/EV008.txt,fac1a0308f62079bc119ed3b46514948026568b08453de01b4937b66183ce1cf,A,2026-04-09,,2026-04-09,all/current generation,EBATCH:06:motor:f814297a44fc,公式モーターランキングが現モーターの使用開始日を2026-04-09と明記。,公式モーターランキングが現モーターの使用開始日を2026-04-09と明記。,,verified_official_primary,turn986627view7
EV009,06,浜名湖,boat,https://www.boatrace-hamanako.jp/modules/datafile/?page=index_boat,ボートレース浜名湖 ボートデータ,www.boatrace-hamanako.jp,,2026-07-28T00:07:28Z,html,raw/html_extracts/EV009.txt,bc89bd833be8b2386acb121de884598d44cbd64b99d0f4143d8b7233907b3588,A,2025-10-08,,2025-10-08,all/current generation,EBATCH:06:boat:99be39893377,公式ボートデータが現ボートの使用開始日を2025-10-08と明記。,公式ボートデータが現ボートの使用開始日を2025-10-08と明記。,,verified_official_primary,turn986627view8
EV010,07,蒲郡,motor;boat,https://www.gamagori-kyotei.com/asp/gamagori/contents/info/info.php?year=2025,BOAT RACE蒲郡 新着情報,www.gamagori-kyotei.com,2025-07-01,2026-07-28T00:07:28Z,html,raw/html_extracts/EV010.txt,b6e1c26409df6e07fa2363cfe390ddf22cc878ebff308e4fd5fee0397bf71e7c,A,2025-07-19,,2025-07-19,all/current generation,EBATCH:07:motor:19b8135bc000;EBATCH:07:boat:ad4f5e5feeba,7月19日から新ボート・新モーターで競走を実施すると公式告知。,7月19日から新ボート・新モーターで競走を実施すると公式告知。,,verified_official_primary,turn986627view9
EV011,08,常滑,motor,https://www.boatrace-tokoname.jp/sp/index.php?page=datafile-motorrank,ボートレースとこなめ モーターデータ,www.boatrace-tokoname.jp,,2026-07-28T00:07:28Z,html,raw/html_extracts/EV011.txt,fc4d40b7b1fadc1ac1a15f4ddca5199a2d59117cd38536a72c55b4f72ed282b2,A,2025-11-11,,2025-11-11,all/current generation,EBATCH:08:motor:ef58f45086c9,公式モーターデータが現モーターの使用開始日を2025-11-11と明記。,公式モーターデータが現モーターの使用開始日を2025-11-11と明記。,,verified_official_primary,turn956536view5
EV012,08,常滑,boat,https://www.boatrace-tokoname.jp/sp/index.php?page=datafile-boat,ボートレースとこなめ ボートデータ,www.boatrace-tokoname.jp,,2026-07-28T00:07:28Z,html,raw/html_extracts/EV012.txt,85cb1fea2c86120618a722c0285fce6556c69020ec58952ed8443b10bf4e25c1,A,2026-06-29,,2026-06-29,all/current generation,EBATCH:08:boat:a724bab64dd6,公式ボートデータが現ボートの使用開始日を2026-06-29と明記。,公式ボートデータが現ボートの使用開始日を2026-06-29と明記。,,verified_official_primary,turn956536view6
EV013,09,津,motor,https://boatrace-tsu.com/sp/index.php?dtl=9&page=datafile-motordata&select=9,ボートレース津 モーターデータ詳細,boatrace-tsu.com,,2026-07-28T00:07:28Z,html,raw/html_extracts/EV013.txt,98eb0bbcedf5fc33e593aa42d0e02ee2ad229ef048d196d17548eeaa4bc0fc31,A,2025-12-22,,2025-12-22,all/current generation,EBATCH:09:motor:2b2605fc4a34,公式モーターデータが現モーターの使用開始日を2025-12-22と明記。,公式モーターデータが現モーターの使用開始日を2025-12-22と明記。,,verified_official_primary,turn986627view12
EV014,09,津,boat,https://www.boatrace-tsu.com/sp/index.php?page=datafile-boat,ボートレース津 ボートデータ,www.boatrace-tsu.com,,2026-07-28T00:07:28Z,html,raw/html_extracts/EV014.txt,7ffb67893c437f58d984c68b037bb243d4ebb4a236900663a04dd547c5979595,A,2025-12-22,,2025-12-22,all/current generation,EBATCH:09:boat:fe78c723dc71,公式ボートデータが現ボートの使用開始日を2025-12-22と明記。,公式ボートデータが現ボートの使用開始日を2025-12-22と明記。,,verified_official_primary,turn956536view7
EV015,10,三国,motor;boat,https://www.boatrace-mikuni.jp/sp/?page=raceinfo-tenbo&targetday=20260307,ボートレース三国 レース展望（スポーツライブ＋杯）,www.boatrace-mikuni.jp,,2026-07-28T00:07:28Z,html,raw/html_extracts/EV015.txt,b8013d0c0d91c4e77020858bc9a4aacbc327f1e884867ce3aa1eb5446f2f94b7,B,2026-03-07,,2026-03-07,all/current generation,EBATCH:10:motor:b7c66cd9769f;EBATCH:10:boat:8b35898c046d,3月7日開始の今節から新モーター・新ボートでレースを開始すると公式展望。,3月7日開始の今節から新モーター・新ボートでレースを開始すると公式展望。,,verified_official_primary,turn986627view14
EV016,11,びわこ,motor;boat,https://www.boatrace-biwako.jp/modules/news/?kind=1&storyid=2235,新ボート・モーターの導入および凍結防止温水パイプの継続使用について,www.boatrace-biwako.jp,2026-04-07,2026-07-28T00:07:28Z,html,raw/html_extracts/EV016.txt,dd3720a836d516e07d7a03f2959336763cfb3ec9c607c1a57a3ada7029158f4c,A,2026-04-08,,2026-04-08,all/current generation,EBATCH:11:motor:28395480d127;EBATCH:11:boat:f1cec0ab6f72,4月8日開始の開催から新ボート・モーターを導入すると公式告知。,4月8日開始の開催から新ボート・モーターを導入すると公式告知。,,verified_official_primary,turn992883view3
EV017,12,住之江,motor,https://www.boatrace-suminoe.jp/asp/suminoe/contents/01history/ranking_motor.php?ua=1,ボートレース住之江 モーターランキング,www.boatrace-suminoe.jp,,2026-07-28T00:07:28Z,html,raw/html_extracts/EV017.txt,4a3d37b12b4905a87c1ba8bc635b17ce676fd33bc3ad22270d3b25f8aa5a4acf,A,2026-03-23,,2026-03-23,all/current generation,EBATCH:12:motor:d70b31025705,公式モーターランキングが現モーターの使用開始日を2026-03-23と明記。,公式モーターランキングが現モーターの使用開始日を2026-03-23と明記。,,verified_official_primary,turn956536view9
EV018,12,住之江,boat,https://www.boatrace-suminoe.jp/asp/htmlmade/suminoe/sp/01boat/boat04.htm,ボートレース住之江 ボートデータ,www.boatrace-suminoe.jp,,2026-07-28T00:07:28Z,html,raw/html_extracts/EV018.txt,b84c05289a8f5a3b7e1a4dfa094e6415a43a3ce4d0e6d242488c19f4ef3ee4bf,A,2026-03-23,,2026-03-23,all/current generation,EBATCH:12:boat:6c2a3a5379c7,公式ボートデータが現ボートの使用開始日を2026-03-23と明記。,公式ボートデータが現ボートの使用開始日を2026-03-23と明記。,,verified_official_primary,turn956536view10
EV019,13,尼崎,motor,https://www.boatrace-amagasaki.jp/sp/index.php?page=datafile-motorrank,ボートレース尼崎 モーターランキング,www.boatrace-amagasaki.jp,,2026-07-28T00:07:28Z,html,raw/html_extracts/EV019.txt,923d4282cd04dc40c213a8cb02c961838c606c5ef4ac5e4f39a877ed335ecb1b,A,2026-04-17,,2026-04-17,all/current generation,EBATCH:13:motor:d240f24e683e,公式モーターランキングが現モーターの使用開始日を2026-04-17と明記。,公式モーターランキングが現モーターの使用開始日を2026-04-17と明記。,,verified_official_primary,turn956536view11
EV020,13,尼崎,boat,https://www.boatrace-amagasaki.jp/sp/index.php?kind=1&page=datafile-boat,ボートレース尼崎 ボートデータ,www.boatrace-amagasaki.jp,,2026-07-28T00:07:28Z,html,raw/html_extracts/EV020.txt,b170f87e3bf10361b1f5e94275037e507972fb200fd4319d908c2edeaf29b387,A,2026-04-17,,2026-04-17,all/current generation,EBATCH:13:boat:42621e2fe40d,公式ボートデータが現ボートの使用開始日を2026-04-17と明記。,公式ボートデータが現ボートの使用開始日を2026-04-17と明記。,,verified_official_primary,turn956536view12
EV021,14,鳴門,motor,https://www.n14.jp/sp/index.php?kind=6&page=datafile-motordata,ボートレース鳴門 モーターデータ,www.n14.jp,,2026-07-28T00:07:28Z,html,raw/html_extracts/EV021.txt,4652ea9c5ceefbf34c6db69d8145f570e7d57e6606cbd7556e60826ff47142e3,A,2026-04-11,,2026-04-11,all/current generation,EBATCH:14:motor:8c70a52707a0,公式モーターデータが現モーターの使用開始日を2026-04-11と明記。,公式モーターデータが現モーターの使用開始日を2026-04-11と明記。,,verified_official_primary,turn825842view0
EV022,14,鳴門,boat,https://www.n14.jp/sp/?kind=4&page=datafile-boat,ボートレース鳴門 ボートデータ,www.n14.jp,,2026-07-28T00:07:28Z,html,raw/html_extracts/EV022.txt,61d99a106b6d424d83085efd213f41d8eeee52ea8ae7a1600790428bfbcf05c9,A,2026-04-11,,2026-04-11,all/current generation,EBATCH:14:boat:0af68bcf49fb,公式ボートデータが現ボートの使用開始日を2026-04-11と明記。,公式ボートデータが現ボートの使用開始日を2026-04-11と明記。,,verified_official_primary,turn513574view1
EV023,15,丸亀,motor,https://www.marugameboat.jp/asp/htmlmade/marugame/sp/motor/motor02.htm,ボートレースまるがめ モーターデータ,www.marugameboat.jp,,2026-07-28T00:07:28Z,html,raw/html_extracts/EV023.txt,be110598ad86180b920b35443f1d0cee99e12ecf1a11f2c4d001e5dba1831c5a,A,2025-09-03,,2025-09-03,all/current generation,EBATCH:15:motor:a33d71edc25a,公式モーターデータがモーター使用開始日を2025-09-03と明記。,公式モーターデータがモーター使用開始日を2025-09-03と明記。,,verified_official_primary,turn992883view4
EV024,15,丸亀,boat,https://www.marugameboat.jp/pdf/marugame/bangumihyo/202607090102.pdf,ボートレースまるがめ 出走表（新ボート案内）,www.marugameboat.jp,2026-07-09,2026-07-28T00:07:28Z,pdf,raw/pdfs/marugame_20260709_new_boat.pdf,ca191542c337e938d4716091d9c0b3b938944400f0d52a9cb0101876e13fe988,A,2026-07-09,,2026-07-09,all/current generation,EBATCH:15:boat:c03bca866a39,公式出走表がボート使用開始日を2026-07-09と明記し、今節から新ボートと説明。,公式出走表がボート使用開始日を2026-07-09と明記し、今節から新ボートと説明。,,verified_official_primary,turn992883view5
EV025,16,児島,motor;boat,https://www.kojimaboat.jp/00info/2025.htm,12月17日から新モーター・新ボートの使用開始,www.kojimaboat.jp,2025-12-16,2026-07-28T00:07:28Z,html,raw/html_extracts/EV025.txt,91f8c0d5922be6757b2062ac29ded8eea6033912619db0966242af8ccc697afb,A,2025-12-17,,2025-12-17,all/current generation,EBATCH:16:motor:02400f103ec9;EBATCH:16:boat:f682d842f4c2,12月17日開始の倉敷市長杯初日から新モーター・新ボートを使用すると公式告知。,12月17日開始の倉敷市長杯初日から新モーター・新ボートを使用すると公式告知。,,verified_official_primary,turn992883view6
