status,eligible_for_model_training,purpose,profile_dimension,profile_value,candidate_rows,distinct_target_races,distinct_prior_races,distinct_racers,beforeinfo_source_covered_count,reconciliation_mismatch_count,duplicate_count,future_leakage_count
provisional,false,policy_execution_validation,feature_materialization_eligibility,audit_match_only_not_feature_eligible,31532,8347,8848,1644,31532,0,0,0
provisional,false,policy_execution_validation,feature_materialization_eligibility,not_eligible,490,478,426,419,453,490,0,0
provisional,false,policy_execution_validation,meeting_day,1,5589,1516,1634,1521,5581,83,0,0
provisional,false,policy_execution_validation,meeting_day,2,5640,1544,1608,1592,5636,84,0,0
provisional,false,policy_execution_validation,meeting_day,3,5436,1462,1569,1555,5428,86,0,0
provisional,false,policy_execution_validation,meeting_day,4,5508,1429,1498,1578,5500,79,0,0
provisional,false,policy_execution_validation,meeting_day,5,4472,1099,1169,1510,4467,71,0,0
provisional,false,policy_execution_validation,meeting_day,6,3545,833,913,1468,3543,59,0,0
provisional,false,policy_execution_validation,meeting_day,7,417,101,113,368,416,6,0,0
provisional,false,policy_execution_validation,meeting_day,low,97,41,20,96,97,1,0,0
provisional,false,policy_execution_validation,meeting_day,unresolved,1318,340,354,582,1317,21,0,0
provisional,false,policy_execution_validation,overall,all,32022,8365,8878,1644,31985,490,0,0
provisional,false,policy_execution_validation,physical_capture_status,captured_after_target_cutoff,32022,8365,8878,1644,31985,490,0,0
provisional,false,policy_execution_validation,target_race_no,10,5860,1149,5345,1448,5856,83,0,0
provisional,false,policy_execution_validation,target_race_no,11,6255,1140,5861,1365,6245,103,0,0
provisional,false,policy_execution_validation,target_race_no,12,5348,934,5139,1262,5338,95,0,0
provisional,false,policy_execution_validation,target_race_no,4,4,2,2,4,4,0,0,0
provisional,false,policy_execution_validation,target_race_no,5,744,657,660,536,744,11,0,0
provisional,false,policy_execution_validation,target_race_no,6,1794,1051,1602,922,1793,30,0,0
provisional,false,policy_execution_validation,target_race_no,7,3005,1128,2683,1255,3003,43,0,0
provisional,false,policy_execution_validation,target_race_no,8,3968,1148,3595,1424,3966,50,0,0
provisional,false,policy_execution_validation,target_race_no,9,5044,1156,4533,1505,5036,75,0,0
provisional,false,policy_execution_validation,venue_code,01,1315,341,361,521,1313,27,0,0
provisional,false,policy_execution_validation,venue_code,02,1381,364,373,496,1381,13,0,0
provisional,false,policy_execution_validation,venue_code,03,1336,371,400,453,1333,25,0,0
provisional,false,policy_execution_validation,venue_code,04,1107,279,293,336,1104,28,0,0
provisional,false,policy_execution_validation,venue_code,05,1574,425,448,479,1571,27,0,0
provisional,false,policy_execution_validation,venue_code,06,1398,368,399,464,1395,17,0,0
provisional,false,policy_execution_validation,venue_code,07,1673,435,470,507,1669,25,0,0
provisional,false,policy_execution_validation,venue_code,08,1529,387,409,487,1527,17,0,0
provisional,false,policy_execution_validation,venue_code,09,1246,326,350,453,1245,19,0,0
provisional,false,policy_execution_validation,venue_code,10,1137,297,293,387,1135,14,0,0
provisional,false,policy_execution_validation,venue_code,11,1238,324,334,334,1237,16,0,0
provisional,false,policy_execution_validation,venue_code,12,1092,308,333,469,1092,20,0,0
provisional,false,policy_execution_validation,venue_code,13,1366,350,384,391,1364,14,0,0
provisional,false,policy_execution_validation,venue_code,14,1376,344,358,489,1376,21,0,0
provisional,false,policy_execution_validation,venue_code,15,1581,401,453,514,1579,41,0,0
provisional,false,policy_execution_validation,venue_code,16,804,206,220,278,803,7,0,0
provisional,false,policy_execution_validation,venue_code,17,1611,414,451,501,1611,29,0,0
provisional,false,policy_execution_validation,venue_code,18,1606,413,435,522,1606,24,0,0
provisional,false,policy_execution_validation,venue_code,19,1261,323,365,388,1258,18,0,0
provisional,false,policy_execution_validation,venue_code,20,976,259,261,389,976,12,0,0
provisional,false,policy_execution_validation,venue_code,21,1394,375,379,449,1392,22,0,0
provisional,false,policy_execution_validation,venue_code,22,1296,350,365,432,1295,14,0,0
provisional,false,policy_execution_validation,venue_code,23,1310,335,345,407,1309,16,0,0
provisional,false,policy_execution_validation,venue_code,24,1415,370,399,448,1414,24,0,0
provisional,false,policy_execution_validation,year,2024,17127,4445,4684,1552,17103,270,0,0
provisional,false,policy_execution_validation,year,2025,14269,3760,4012,1601,14258,205,0,0
provisional,false,policy_execution_validation,year,2026,626,160,182,529,624,15,0,0
