status,eligible_for_model_training,purpose,raw_subtitle,race_count,cumulative_race_coverage,representative_race_keys,current_mapped_stage,proposed_stage,review_status,confidence,evidence_fields,rationale,ambiguity_reason,requires_human_confirmation
provisional,false,policy_execution_validation,ドラドキ3,495,0.003323128977685,20230905_01_07;20230906_01_07;20230907_01_07;20230908_01_07;20230909_01_07,unknown,unknown,remains_ambiguous,low,subtitle_review_queue_v1.raw_subtitle/raw_value_is_null; race_stage_materialized.raw_subtitle/raw_value_is_null; meeting_episode_candidates.raw_title/raw_day_label; same_venue_date_stage_mix,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,context_dependent_local_observations,true
provisional,false,policy_execution_validation,ドラドキ目玉,495,0.006646257955369,20230905_01_06;20230906_01_06;20230907_01_06;20230908_01_06;20230909_01_06,unknown,unknown,remains_ambiguous,low,subtitle_review_queue_v1.raw_subtitle/raw_value_is_null; race_stage_materialized.raw_subtitle/raw_value_is_null; meeting_episode_candidates.raw_title/raw_day_label; same_venue_date_stage_mix,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,context_dependent_local_observations,true
provisional,false,policy_execution_validation,ファーストB,495,0.009969386933054,20230903_17_01;20230904_17_01;20230905_17_01;20230906_17_01;20230907_17_01,unknown,unknown,remains_ambiguous,low,subtitle_review_queue_v1.raw_subtitle/raw_value_is_null; race_stage_materialized.raw_subtitle/raw_value_is_null; meeting_episode_candidates.raw_title/raw_day_label; same_venue_date_stage_mix,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,context_dependent_local_observations,true
provisional,false,policy_execution_validation,サンライズV戦,485,0.013225381991998,20230907_21_01;20230908_21_01;20230909_21_01;20230910_21_01;20230911_21_01,unknown,unknown,remains_ambiguous,low,subtitle_review_queue_v1.raw_subtitle/raw_value_is_null; race_stage_materialized.raw_subtitle/raw_value_is_null; meeting_episode_candidates.raw_title/raw_day_label; same_venue_date_stage_mix,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,context_dependent_local_observations,true
provisional,false,policy_execution_validation,サンライズW戦,485,0.016481377050941,20230907_21_02;20230908_21_02;20230909_21_02;20230910_21_02;20230911_21_02,unknown,unknown,remains_ambiguous,low,subtitle_review_queue_v1.raw_subtitle/raw_value_is_null; race_stage_materialized.raw_subtitle/raw_value_is_null; meeting_episode_candidates.raw_title/raw_day_label; same_venue_date_stage_mix,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,context_dependent_local_observations,true
provisional,false,policy_execution_validation,サンライズX戦,485,0.019737372109885,20230907_21_03;20230908_21_03;20230909_21_03;20230910_21_03;20230911_21_03,unknown,unknown,remains_ambiguous,low,subtitle_review_queue_v1.raw_subtitle/raw_value_is_null; race_stage_materialized.raw_subtitle/raw_value_is_null; meeting_episode_candidates.raw_title/raw_day_label; same_venue_date_stage_mix,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,context_dependent_local_observations,true
provisional,false,policy_execution_validation,サンライズY戦,485,0.022993367168828,20230907_21_04;20230908_21_04;20230909_21_04;20230910_21_04;20230911_21_04,unknown,unknown,remains_ambiguous,low,subtitle_review_queue_v1.raw_subtitle/raw_value_is_null; race_stage_materialized.raw_subtitle/raw_value_is_null; meeting_episode_candidates.raw_title/raw_day_label; same_venue_date_stage_mix,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,context_dependent_local_observations,true
provisional,false,policy_execution_validation,サンライズZ戦,485,0.026249362227772,20230907_21_05;20230908_21_05;20230909_21_05;20230910_21_05;20230911_21_05,unknown,unknown,remains_ambiguous,low,subtitle_review_queue_v1.raw_subtitle/raw_value_is_null; race_stage_materialized.raw_subtitle/raw_value_is_null; meeting_episode_candidates.raw_title/raw_day_label; same_venue_date_stage_mix,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,context_dependent_local_observations,true
provisional,false,policy_execution_validation,ドラドキ5,484,0.029498643894841,20230905_01_08;20230906_01_08;20230907_01_08;20230908_01_08;20230909_01_08,unknown,unknown,remains_ambiguous,low,subtitle_review_queue_v1.raw_subtitle/raw_value_is_null; race_stage_materialized.raw_subtitle/raw_value_is_null; meeting_episode_candidates.raw_title/raw_day_label; same_venue_date_stage_mix,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,context_dependent_local_observations,true
provisional,false,policy_execution_validation,エイトビート,481,0.032727785386289,20230901_20_08;20230902_20_08;20230903_20_08;20230904_20_08;20230909_20_08,unknown,unknown,remains_ambiguous,low,subtitle_review_queue_v1.raw_subtitle/raw_value_is_null; race_stage_materialized.raw_subtitle/raw_value_is_null; meeting_episode_candidates.raw_title/raw_day_label; same_venue_date_stage_mix,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,context_dependent_local_observations,true
provisional,false,policy_execution_validation,5ールドレース,456,0.035789092080883,20231216_09_05;20231217_09_05;20231218_09_05;20231219_09_05;20231220_09_05,unknown,unknown,remains_ambiguous,low,subtitle_review_queue_v1.raw_subtitle/raw_value_is_null; race_stage_materialized.raw_subtitle/raw_value_is_null; meeting_episode_candidates.raw_title/raw_day_label; same_venue_date_stage_mix,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,context_dependent_local_observations,true
provisional,false,policy_execution_validation,住之江ファイブ,448,0.038796691640484,20230913_12_05;20230914_12_05;20230915_12_05;20230916_12_05;20230921_12_05,unknown,unknown,remains_ambiguous,low,subtitle_review_queue_v1.raw_subtitle/raw_value_is_null; race_stage_materialized.raw_subtitle/raw_value_is_null; meeting_episode_candidates.raw_title/raw_day_label; same_venue_date_stage_mix,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,context_dependent_local_observations,true
provisional,false,policy_execution_validation,昼どきピンクル,436,0.041723730497597,20230901_13_06;20230917_13_06;20230918_13_06;20230919_13_06;20230920_13_06,unknown,unknown,remains_ambiguous,low,subtitle_review_queue_v1.raw_subtitle/raw_value_is_null; race_stage_materialized.raw_subtitle/raw_value_is_null; meeting_episode_candidates.raw_title/raw_day_label; same_venue_date_stage_mix,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,context_dependent_local_observations,true
provisional,false,policy_execution_validation,朝からセンプル,436,0.044650769354709,20230901_13_01;20230917_13_01;20230918_13_01;20230919_13_01;20230920_13_01,unknown,unknown,remains_ambiguous,low,subtitle_review_queue_v1.raw_subtitle/raw_value_is_null; race_stage_materialized.raw_subtitle/raw_value_is_null; meeting_episode_candidates.raw_title/raw_day_label; same_venue_date_stage_mix,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,context_dependent_local_observations,true
provisional,false,policy_execution_validation,ツッキーレース,426,0.047510674293080,20231216_09_01;20231217_09_01;20231218_09_01;20231219_09_01;20231220_09_01,unknown,unknown,remains_ambiguous,low,subtitle_review_queue_v1.raw_subtitle/raw_value_is_null; race_stage_materialized.raw_subtitle/raw_value_is_null; meeting_episode_candidates.raw_title/raw_day_label; same_venue_date_stage_mix,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,context_dependent_local_observations,true
provisional,false,policy_execution_validation,みくにあさイチ,403,0.050216171218346,20230901_10_01;20230902_10_01;20230918_10_01;20230919_10_01;20230920_10_01,unknown,unknown,remains_ambiguous,low,subtitle_review_queue_v1.raw_subtitle/raw_value_is_null; race_stage_materialized.raw_subtitle/raw_value_is_null; meeting_episode_candidates.raw_title/raw_day_label; same_venue_date_stage_mix,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,context_dependent_local_observations,true
provisional,false,policy_execution_validation,みくにあさガチ,403,0.052921668143613,20230901_10_02;20230902_10_02;20230918_10_02;20230919_10_02;20230920_10_02,unknown,unknown,remains_ambiguous,low,subtitle_review_queue_v1.raw_subtitle/raw_value_is_null; race_stage_materialized.raw_subtitle/raw_value_is_null; meeting_episode_candidates.raw_title/raw_day_label; same_venue_date_stage_mix,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,context_dependent_local_observations,true
provisional,false,policy_execution_validation,みくにあさズバ,403,0.055627165068879,20230901_10_03;20230902_10_03;20230918_10_03;20230919_10_03;20230920_10_03,unknown,unknown,remains_ambiguous,low,subtitle_review_queue_v1.raw_subtitle/raw_value_is_null; race_stage_materialized.raw_subtitle/raw_value_is_null; meeting_episode_candidates.raw_title/raw_day_label; same_venue_date_stage_mix,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,context_dependent_local_observations,true
provisional,false,policy_execution_validation,みくにあさ推し,403,0.058332661994146,20230901_10_04;20230902_10_04;20230918_10_04;20230919_10_04;20230920_10_04,unknown,unknown,remains_ambiguous,low,subtitle_review_queue_v1.raw_subtitle/raw_value_is_null; race_stage_materialized.raw_subtitle/raw_value_is_null; meeting_episode_candidates.raw_title/raw_day_label; same_venue_date_stage_mix,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,context_dependent_local_observations,true
provisional,false,policy_execution_validation,ウインウイン5,403,0.061038158919412,20230901_02_05;20230903_02_05;20230914_02_05;20230915_02_05;20230916_02_05,unknown,unknown,remains_ambiguous,low,subtitle_review_queue_v1.raw_subtitle/raw_value_is_null; race_stage_materialized.raw_subtitle/raw_value_is_null; meeting_episode_candidates.raw_title/raw_day_label; same_venue_date_stage_mix,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,context_dependent_local_observations,true
provisional,false,policy_execution_validation,ウインウイン7,403,0.063743655844679,20230901_02_07;20230903_02_07;20230914_02_07;20230915_02_07;20230916_02_07,unknown,unknown,remains_ambiguous,low,subtitle_review_queue_v1.raw_subtitle/raw_value_is_null; race_stage_materialized.raw_subtitle/raw_value_is_null; meeting_episode_candidates.raw_title/raw_day_label; same_venue_date_stage_mix,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,context_dependent_local_observations,true
provisional,false,policy_execution_validation,ランチタイム戦,380,0.066294744756841,20230901_06_04;20230902_06_04;20230903_06_04;20230930_06_04;20231001_06_04,unknown,unknown,remains_ambiguous,low,subtitle_review_queue_v1.raw_subtitle/raw_value_is_null; race_stage_materialized.raw_subtitle/raw_value_is_null; meeting_episode_candidates.raw_title/raw_day_label; same_venue_date_stage_mix,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,context_dependent_local_observations,true
provisional,false,policy_execution_validation,ブレイクタイム,362,0.068724992615269,20230901_06_08;20230902_06_08;20230903_06_08;20230930_06_08;20231001_06_08,unknown,unknown,remains_ambiguous,low,subtitle_review_queue_v1.raw_subtitle/raw_value_is_null; race_stage_materialized.raw_subtitle/raw_value_is_null; meeting_episode_candidates.raw_title/raw_day_label; same_venue_date_stage_mix,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,context_dependent_local_observations,true
provisional,false,policy_execution_validation,シーモ戦,360,0.071141813689949,20230901_19_05;20230902_19_05;20230903_19_05;20230904_19_05;20230905_19_05,unknown,unknown,remains_ambiguous,low,subtitle_review_queue_v1.raw_subtitle/raw_value_is_null; race_stage_materialized.raw_subtitle/raw_value_is_null; meeting_episode_candidates.raw_title/raw_day_label; same_venue_date_stage_mix,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,context_dependent_local_observations,true
provisional,false,policy_execution_validation,とにかくなると,327,0.073337092832783,20230903_14_04;20230904_14_04;20230905_14_04;20230906_14_04;20230907_14_04,unknown,unknown,remains_ambiguous,low,subtitle_review_queue_v1.raw_subtitle/raw_value_is_null; race_stage_materialized.raw_subtitle/raw_value_is_null; meeting_episode_candidates.raw_title/raw_day_label; same_venue_date_stage_mix,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,context_dependent_local_observations,true
provisional,false,policy_execution_validation,とるならなると,327,0.075532371975617,20230903_14_01;20230904_14_01;20230905_14_01;20230906_14_01;20230907_14_01,unknown,unknown,remains_ambiguous,low,subtitle_review_queue_v1.raw_subtitle/raw_value_is_null; race_stage_materialized.raw_subtitle/raw_value_is_null; meeting_episode_candidates.raw_title/raw_day_label; same_venue_date_stage_mix,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,context_dependent_local_observations,true
provisional,false,policy_execution_validation,どきどきなると,327,0.077727651118451,20230903_14_03;20230904_14_03;20230905_14_03;20230906_14_03;20230907_14_03,unknown,unknown,remains_ambiguous,low,subtitle_review_queue_v1.raw_subtitle/raw_value_is_null; race_stage_materialized.raw_subtitle/raw_value_is_null; meeting_episode_candidates.raw_title/raw_day_label; same_venue_date_stage_mix,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,context_dependent_local_observations,true
provisional,false,policy_execution_validation,どーなるなると,327,0.079922930261285,20230903_14_02;20230904_14_02;20230905_14_02;20230906_14_02;20230907_14_02,unknown,unknown,remains_ambiguous,low,subtitle_review_queue_v1.raw_subtitle/raw_value_is_null; race_stage_materialized.raw_subtitle/raw_value_is_null; meeting_episode_candidates.raw_title/raw_day_label; same_venue_date_stage_mix,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,context_dependent_local_observations,true
provisional,false,policy_execution_validation,日替艇食戦,327,0.082118209404119,20230901_16_05;20230902_16_05;20230903_16_05;20230904_16_05;20230905_16_05,unknown,unknown,remains_ambiguous,low,subtitle_review_queue_v1.raw_subtitle/raw_value_is_null; race_stage_materialized.raw_subtitle/raw_value_is_null; meeting_episode_candidates.raw_title/raw_day_label; same_venue_date_stage_mix,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,context_dependent_local_observations,true
provisional,false,policy_execution_validation,朝得ガァ〜コ戦,327,0.084313488546953,20230901_16_01;20230902_16_01;20230903_16_01;20230904_16_01;20230905_16_01,unknown,unknown,remains_ambiguous,low,subtitle_review_queue_v1.raw_subtitle/raw_value_is_null; race_stage_materialized.raw_subtitle/raw_value_is_null; meeting_episode_candidates.raw_title/raw_day_label; same_venue_date_stage_mix,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,context_dependent_local_observations,true
provisional,false,policy_execution_validation,コジマだ4っ!,316,0.086434920379172,20230901_16_04;20230902_16_04;20230903_16_04;20230904_16_04;20230905_16_04,unknown,unknown,remains_ambiguous,low,subtitle_review_queue_v1.raw_subtitle/raw_value_is_null; race_stage_materialized.raw_subtitle/raw_value_is_null; meeting_episode_candidates.raw_title/raw_day_label; same_venue_date_stage_mix,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,context_dependent_local_observations,true
provisional,false,policy_execution_validation,カチ勝ち6,294,0.088408657590161,20230925_15_06;20230926_15_06;20230927_15_06;20230928_15_06;20230929_15_06,unknown,unknown,remains_ambiguous,low,subtitle_review_queue_v1.raw_subtitle/raw_value_is_null; race_stage_materialized.raw_subtitle/raw_value_is_null; meeting_episode_candidates.raw_title/raw_day_label; same_venue_date_stage_mix,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,context_dependent_local_observations,true
provisional,false,policy_execution_validation,昼得クラリス戦,294,0.090382394801149,20230901_16_06;20230902_16_06;20230903_16_06;20230904_16_06;20230905_16_06,unknown,unknown,remains_ambiguous,low,subtitle_review_queue_v1.raw_subtitle/raw_value_is_null; race_stage_materialized.raw_subtitle/raw_value_is_null; meeting_episode_candidates.raw_title/raw_day_label; same_venue_date_stage_mix,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,context_dependent_local_observations,true
provisional,false,policy_execution_validation,穴ガチ7,294,0.092356132012138,20230925_15_07;20230926_15_07;20230927_15_07;20230928_15_07;20230929_15_07,unknown,unknown,remains_ambiguous,low,subtitle_review_queue_v1.raw_subtitle/raw_value_is_null; race_stage_materialized.raw_subtitle/raw_value_is_null; meeting_episode_candidates.raw_title/raw_day_label; same_venue_date_stage_mix,Local title/day-label/other-race context does not constitute an official stage definition; retain the existing unknown stage without a forced mapping.,context_dependent_local_observations,true
