status,eligible_for_model_training,purpose,blocker_id,existing_state,proposed_state,hypothesis_ids,reason_code,silent_fallback_allowed,gate0_evidence
provisional,false,policy_execution_validation,B001,unresolved,evidence_batched_no_resolution,H004;H005;H006;H007;H021;H033,equipment_generation_boundary_requires_official_A_or_B_evidence,false,gate0_unresolved_reduction_v1
provisional,false,policy_execution_validation,B002,unresolved,evidence_batched_no_resolution,H004;H005;H006;H021;H033,equipment_generation_boundary_requires_official_A_or_B_evidence,false,gate0_unresolved_reduction_v1
provisional,false,policy_execution_validation,B003,unresolved,policy_clarified_feature_not_materialized,H005;H007;H013;H014;H021,historical_identity_is_not_prediction_time_feature_provenance,false,gate0_unresolved_reduction_v1
provisional,false,policy_execution_validation,B004,unresolved,audit_reconciled_quarantine_retained,H006;H014;H021,semantic_candidate_requires_separate_asof_approval,false,gate0_unresolved_reduction_v1
provisional,false,policy_execution_validation,B005,unresolved,unchanged_pending_gate1_or_external_evidence,H001;H003;H005;H012,outside_gate0_local_reduction_scope,false,gate0_unresolved_reduction_v1
provisional,false,policy_execution_validation,B006,unresolved,unchanged_pending_gate1_or_external_evidence,H003;H022,outside_gate0_local_reduction_scope,false,gate0_unresolved_reduction_v1
provisional,false,policy_execution_validation,B007,unresolved,unchanged_pending_gate1_or_external_evidence,H033,outside_gate0_local_reduction_scope,false,gate0_unresolved_reduction_v1
provisional,false,policy_execution_validation,B008,unresolved,unchanged_pending_gate1_or_external_evidence,H001-H033,outside_gate0_local_reduction_scope,false,gate0_unresolved_reduction_v1
provisional,false,policy_execution_validation,B009,unresolved,unchanged_pending_gate1_or_external_evidence,H032,outside_gate0_local_reduction_scope,false,gate0_unresolved_reduction_v1
provisional,false,policy_execution_validation,B010,unresolved,unchanged_pending_gate1_or_external_evidence,H031,outside_gate0_local_reduction_scope,false,gate0_unresolved_reduction_v1
provisional,false,policy_execution_validation,B011,unresolved,unchanged_pending_gate1_or_external_evidence,H030,outside_gate0_local_reduction_scope,false,gate0_unresolved_reduction_v1
