race_key,v0_1_main_evaluation_eligible,final_candidate_present,final_strict_complete_member,final_prediction_feature_eligible,final_base_role,migration_status,reason_codes
20230901_02_03,True,True,False,False,not_research_eligible,no_longer_eligible_with_reason,outcome_target_source_missing|program_six_boat_invalid|raw_hash_invalid_or_unavailable|source_identity_invalid
20230901_06_03,True,True,False,False,not_research_eligible,no_longer_eligible_with_reason,outcome_target_source_missing|program_six_boat_invalid|raw_hash_invalid_or_unavailable|source_identity_invalid
20230901_07_08,True,True,False,False,not_research_eligible,no_longer_eligible_with_reason,outcome_target_source_missing|program_six_boat_invalid|raw_hash_invalid_or_unavailable|source_identity_invalid
20230901_08_10,True,True,False,False,not_research_eligible,no_longer_eligible_with_reason,outcome_target_source_missing|program_six_boat_invalid|raw_hash_invalid_or_unavailable|source_identity_invalid
20230901_16_08,True,True,False,False,not_research_eligible,no_longer_eligible_with_reason,outcome_target_source_missing|program_six_boat_invalid|raw_hash_invalid_or_unavailable|source_identity_invalid
20230901_22_05,True,True,False,False,not_research_eligible,no_longer_eligible_with_reason,outcome_target_source_missing|program_six_boat_invalid|raw_hash_invalid_or_unavailable|source_identity_invalid
20230901_23_01,True,True,False,False,not_research_eligible,no_longer_eligible_with_reason,outcome_target_source_missing|program_six_boat_invalid|raw_hash_invalid_or_unavailable|source_identity_invalid
20230901_24_03,True,True,False,False,not_research_eligible,no_longer_eligible_with_reason,outcome_target_source_missing|program_six_boat_invalid|raw_hash_invalid_or_unavailable|source_identity_invalid
20230902_02_04,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230902_02_10,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230902_03_06,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230902_03_12,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230902_06_10,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230902_07_08,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230902_07_11,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230902_08_11,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230902_10_08,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230902_16_01,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
