fold_id,stage,role,start_date,end_date,U0_count,venue_count
screening_fold_1,screening,train,2022-03-01,2023-06-30,42619,24
screening_fold_1,screening,selection,2023-07-01,2023-09-30,13190,24
screening_fold_1,screening,calibration,2023-10-01,2023-12-31,12149,24
screening_fold_1,screening,evaluation,2024-01-01,2024-03-31,12822,24
screening_fold_2,screening,train,2022-03-01,2023-09-30,55809,24
screening_fold_2,screening,selection,2023-10-01,2023-12-31,12149,24
screening_fold_2,screening,calibration,2024-01-01,2024-03-31,12822,24
screening_fold_2,screening,evaluation,2024-04-01,2024-06-30,12953,24
screening_fold_3,screening,train,2022-03-01,2023-12-31,67958,24
screening_fold_3,screening,selection,2024-01-01,2024-03-31,12822,24
screening_fold_3,screening,calibration,2024-04-01,2024-06-30,12953,24
screening_fold_3,screening,evaluation,2024-07-01,2024-09-30,13169,24
screening_fold_4,screening,train,2022-03-01,2024-03-31,80780,24
screening_fold_4,screening,selection,2024-04-01,2024-06-30,12953,24
screening_fold_4,screening,calibration,2024-07-01,2024-09-30,13169,24
screening_fold_4,screening,evaluation,2024-10-01,2024-12-31,12288,24
confirmation_fold_1,confirmation,train,2022-03-01,2024-06-30,93733,24
confirmation_fold_1,confirmation,selection,2024-07-01,2024-09-30,13169,24
confirmation_fold_1,confirmation,calibration,2024-10-01,2024-12-31,12288,24
confirmation_fold_1,confirmation,evaluation,2025-01-01,2025-03-31,12727,24
confirmation_fold_2,confirmation,train,2022-03-01,2024-09-30,106902,24
confirmation_fold_2,confirmation,selection,2024-10-01,2024-12-31,12288,24
confirmation_fold_2,confirmation,calibration,2025-01-01,2025-03-31,12727,24
confirmation_fold_2,confirmation,evaluation,2025-04-01,2025-07-27,17399,24
