race_date,model_a,model_b,count,mean_loss_difference
2024-01-01,B1_global_frequency,B0_uniform,141,-0.6884800870741372
2024-01-01,B2_hierarchical_frequency,B0_uniform,141,-0.699321661657856
2024-01-01,B2_hierarchical_frequency,B1_global_frequency,141,-0.01084157458371873
2024-01-01,B3_autoregressive_hierarchical_frequency,B0_uniform,141,-0.7344848856498762
2024-01-01,B3_autoregressive_hierarchical_frequency,B1_global_frequency,141,-0.046004798575739095
2024-01-01,B3_autoregressive_hierarchical_frequency,B2_hierarchical_frequency,141,-0.035163223992020355
2024-01-02,B1_global_frequency,B0_uniform,191,-0.6562858316609336
2024-01-02,B2_hierarchical_frequency,B0_uniform,191,-0.6930874660835794
2024-01-02,B2_hierarchical_frequency,B1_global_frequency,191,-0.036801634422645904
2024-01-02,B3_autoregressive_hierarchical_frequency,B0_uniform,191,-0.7085437816253396
2024-01-02,B3_autoregressive_hierarchical_frequency,B1_global_frequency,191,-0.05225794996440602
2024-01-02,B3_autoregressive_hierarchical_frequency,B2_hierarchical_frequency,191,-0.015456315541760121
2024-01-03,B1_global_frequency,B0_uniform,205,-0.5940574532858942
2024-01-03,B2_hierarchical_frequency,B0_uniform,205,-0.602675568945348
2024-01-03,B2_hierarchical_frequency,B1_global_frequency,205,-0.008618115659453984
2024-01-03,B3_autoregressive_hierarchical_frequency,B0_uniform,205,-0.6200570051442796
2024-01-03,B3_autoregressive_hierarchical_frequency,B1_global_frequency,205,-0.02599955185838548
2024-01-03,B3_autoregressive_hierarchical_frequency,B2_hierarchical_frequency,205,-0.0173814361989315
2024-01-04,B1_global_frequency,B0_uniform,185,-0.6741742556902635
2024-01-04,B2_hierarchical_frequency,B0_uniform,185,-0.6785323604840692
2024-01-04,B2_hierarchical_frequency,B1_global_frequency,185,-0.004358104793805685
2024-01-04,B3_autoregressive_hierarchical_frequency,B0_uniform,185,-0.7101573576391852
2024-01-04,B3_autoregressive_hierarchical_frequency,B1_global_frequency,185,-0.03598310194892185
2024-01-04,B3_autoregressive_hierarchical_frequency,B2_hierarchical_frequency,185,-0.03162499715511616
2024-01-05,B1_global_frequency,B0_uniform,147,-0.4862913410696051
2024-01-05,B2_hierarchical_frequency,B0_uniform,147,-0.4673801865216172
2024-01-05,B2_hierarchical_frequency,B1_global_frequency,147,0.018911154547987943
2024-01-05,B3_autoregressive_hierarchical_frequency,B0_uniform,147,-0.49784454128631134
2024-01-05,B3_autoregressive_hierarchical_frequency,B1_global_frequency,147,-0.01155320021670619
2024-01-05,B3_autoregressive_hierarchical_frequency,B2_hierarchical_frequency,147,-0.03046435476469413
2024-01-06,B1_global_frequency,B0_uniform,166,-0.5920665589480223
2024-01-06,B2_hierarchical_frequency,B0_uniform,166,-0.6030198466930105
2024-01-06,B2_hierarchical_frequency,B1_global_frequency,166,-0.010953287744988074
2024-01-06,B3_autoregressive_hierarchical_frequency,B0_uniform,166,-0.6401960089468971
2024-01-06,B3_autoregressive_hierarchical_frequency,B1_global_frequency,166,-0.04812944999887468
2024-01-06,B3_autoregressive_hierarchical_frequency,B2_hierarchical_frequency,166,-0.03717616225388662
2024-01-07,B1_global_frequency,B0_uniform,183,-0.5719145128333017
2024-01-07,B2_hierarchical_frequency,B0_uniform,183,-0.5757935217797288
2024-01-07,B2_hierarchical_frequency,B1_global_frequency,183,-0.0038790089464270355
2024-01-07,B3_autoregressive_hierarchical_frequency,B0_uniform,183,-0.5880049891049931
2024-01-07,B3_autoregressive_hierarchical_frequency,B1_global_frequency,183,-0.016090476271691315
2024-01-07,B3_autoregressive_hierarchical_frequency,B2_hierarchical_frequency,183,-0.012211467325264281
2024-01-08,B1_global_frequency,B0_uniform,151,-0.5813408435610564
2024-01-08,B2_hierarchical_frequency,B0_uniform,151,-0.590493993492325
2024-01-08,B2_hierarchical_frequency,B1_global_frequency,151,-0.00915314993126862
2024-01-08,B3_autoregressive_hierarchical_frequency,B0_uniform,151,-0.6410262975769411
2024-01-08,B3_autoregressive_hierarchical_frequency,B1_global_frequency,151,-0.0596854540158846
2024-01-08,B3_autoregressive_hierarchical_frequency,B2_hierarchical_frequency,151,-0.05053230408461597
2024-01-09,B1_global_frequency,B0_uniform,124,-0.6054052747604631
2024-01-09,B2_hierarchical_frequency,B0_uniform,124,-0.5965824291879561
2024-01-09,B2_hierarchical_frequency,B1_global_frequency,124,0.00882284557250707
2024-01-09,B3_autoregressive_hierarchical_frequency,B0_uniform,124,-0.6351194961867844
2024-01-09,B3_autoregressive_hierarchical_frequency,B1_global_frequency,124,-0.02971422142632132
2024-01-09,B3_autoregressive_hierarchical_frequency,B2_hierarchical_frequency,124,-0.03853706699882839
2024-01-10,B1_global_frequency,B0_uniform,137,-0.8417089397527413
2024-01-10,B2_hierarchical_frequency,B0_uniform,137,-0.8404827824080333
2024-01-10,B2_hierarchical_frequency,B1_global_frequency,137,0.0012261573447078886
2024-01-10,B3_autoregressive_hierarchical_frequency,B0_uniform,137,-0.8565895834575699
2024-01-10,B3_autoregressive_hierarchical_frequency,B1_global_frequency,137,-0.014880643704828745
2024-01-10,B3_autoregressive_hierarchical_frequency,B2_hierarchical_frequency,137,-0.016106801049536632
2024-01-11,B1_global_frequency,B0_uniform,143,-0.6738831958207133
2024-01-11,B2_hierarchical_frequency,B0_uniform,143,-0.6828650337651743
