status,eligible_for_model_training,purpose,hypothesis_id,json_row_present,csv_row_present,json_csv_match,formal_registry_id_collision,formal_registry_sha256_before,status_valid,eligible_for_model_training_valid,primary_metric_contract_valid,local_reconciliation_status
provisional,false,hypothesis_addendum_sidecar_review_only,H034,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H035,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H036,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H037,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H038,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H039,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H040,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H041,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H042,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H043,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H044,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H045,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H046,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H047,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H048,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H049,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H050,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H051,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H052,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H053,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H054,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H055,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H056,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H057,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H058,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H059,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H060,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H061,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H062,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H063,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H064,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H065,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H066,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H067,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H068,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H069,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H070,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H071,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
