file_name,distribution,version,size_bytes,sha256,source_index,python_tag,abi_tag,platform_tag
joblib-1.5.3-py3-none-any.whl,joblib,1.5.3,309071,5fc3c5039fc5ca8c0276333a188bbd59d6b7ab37fe6632daa76bc7f9ec18e713,PyPI,py3,none,any
narwhals-2.24.0-py3-none-any.whl,narwhals,2.24.0,461030,42fdedf44e5b2ca7505630d45b4ac3058f38d8485cba9fe1652ca23152df7489,PyPI,py3,none,any
numpy-2.3.5-cp312-cp312-win_amd64.whl,numpy,2.3.5,12782922,86945f2ee6d10cdfd67bcb4069c1662dd711f7e2a4343db5cecec06b87cf31aa,PyPI,cp312,cp312,win_amd64
pandas-3.0.1-cp312-cp312-win_amd64.whl,pandas,3.0.1,9741627,536232a5fe26dd989bd633e7a0c450705fdc86a207fec7254a55e9a22950fe43,PyPI,cp312,cp312,win_amd64
python_dateutil-2.9.0.post0-py2.py3-none-any.whl,python-dateutil,2.9.0.post0,229892,a8b2bc7bffae282281c8140a97d3aa9c14da0b136dfe83f850eea9a5f7470427,PyPI,py2.py3,none,any
scikit_learn-1.9.0-cp312-cp312-win_amd64.whl,scikit-learn,1.9.0,8211173,4306775fad04cc4b472a1b15af1ae9cede1540fbfcc17fbce3767cd8dc7ae283,PyPI,cp312,cp312,win_amd64
scipy-1.18.0-cp312-cp312-win_amd64.whl,scipy,1.18.0,36597428,71ccc8faa2dd16ac310233203474a8b5cb67f10dedd54a3116d34943f4b19132,PyPI,cp312,cp312,win_amd64
six-1.17.0-py2.py3-none-any.whl,six,1.17.0,11050,4721f391ed90541fddacab5acf947aa0d3dc7d27b2e1e8eda2be8970586c3274,PyPI,py2.py3,none,any
threadpoolctl-3.6.0-py3-none-any.whl,threadpoolctl,3.6.0,18638,43a0b8fd5a2928500110039e43a5eed8480b918967083ea48dc3ab9f13c4a7fb,PyPI,py3,none,any
tzdata-2026.3-py2.py3-none-any.whl,tzdata,2026.3,348168,dc096730c87af6cab1b171c9d532be840741ff5d459015e7f6947bd7d7e54931,PyPI,py2.py3,none,any
