race_id,date,track,race_no,official_url,cache_html_path
20180611_kawasaki_1,2018-06-11,kawasaki,1,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F11&k_raceNo=1&k_babaCode=21,data/cache/html/20180611_kawasaki_1.html
20180611_kawasaki_2,2018-06-11,kawasaki,2,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F11&k_raceNo=2&k_babaCode=21,data/cache/html/20180611_kawasaki_2.html
20180611_kawasaki_3,2018-06-11,kawasaki,3,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F11&k_raceNo=3&k_babaCode=21,data/cache/html/20180611_kawasaki_3.html
20180611_kawasaki_4,2018-06-11,kawasaki,4,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F11&k_raceNo=4&k_babaCode=21,data/cache/html/20180611_kawasaki_4.html
20180611_kawasaki_5,2018-06-11,kawasaki,5,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F11&k_raceNo=5&k_babaCode=21,data/cache/html/20180611_kawasaki_5.html
20180611_kawasaki_6,2018-06-11,kawasaki,6,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F11&k_raceNo=6&k_babaCode=21,data/cache/html/20180611_kawasaki_6.html
20180611_kawasaki_7,2018-06-11,kawasaki,7,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F11&k_raceNo=7&k_babaCode=21,data/cache/html/20180611_kawasaki_7.html
20180611_kawasaki_8,2018-06-11,kawasaki,8,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F11&k_raceNo=8&k_babaCode=21,data/cache/html/20180611_kawasaki_8.html
20180611_kawasaki_9,2018-06-11,kawasaki,9,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F11&k_raceNo=9&k_babaCode=21,data/cache/html/20180611_kawasaki_9.html
20180611_kawasaki_10,2018-06-11,kawasaki,10,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F11&k_raceNo=10&k_babaCode=21,data/cache/html/20180611_kawasaki_10.html
20180611_kawasaki_11,2018-06-11,kawasaki,11,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F11&k_raceNo=11&k_babaCode=21,data/cache/html/20180611_kawasaki_11.html
20180611_kawasaki_12,2018-06-11,kawasaki,12,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F11&k_raceNo=12&k_babaCode=21,data/cache/html/20180611_kawasaki_12.html
20180612_kawasaki_1,2018-06-12,kawasaki,1,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F12&k_raceNo=1&k_babaCode=21,data/cache/html/20180612_kawasaki_1.html
20180612_kawasaki_2,2018-06-12,kawasaki,2,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F12&k_raceNo=2&k_babaCode=21,data/cache/html/20180612_kawasaki_2.html
20180612_kawasaki_3,2018-06-12,kawasaki,3,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F12&k_raceNo=3&k_babaCode=21,data/cache/html/20180612_kawasaki_3.html
20180612_kawasaki_4,2018-06-12,kawasaki,4,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F12&k_raceNo=4&k_babaCode=21,data/cache/html/20180612_kawasaki_4.html
20180612_kawasaki_5,2018-06-12,kawasaki,5,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F12&k_raceNo=5&k_babaCode=21,data/cache/html/20180612_kawasaki_5.html
20180612_kawasaki_6,2018-06-12,kawasaki,6,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F12&k_raceNo=6&k_babaCode=21,data/cache/html/20180612_kawasaki_6.html
20180612_kawasaki_7,2018-06-12,kawasaki,7,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F12&k_raceNo=7&k_babaCode=21,data/cache/html/20180612_kawasaki_7.html
20180612_kawasaki_8,2018-06-12,kawasaki,8,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F12&k_raceNo=8&k_babaCode=21,data/cache/html/20180612_kawasaki_8.html
20180612_kawasaki_9,2018-06-12,kawasaki,9,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F12&k_raceNo=9&k_babaCode=21,data/cache/html/20180612_kawasaki_9.html
20180612_kawasaki_10,2018-06-12,kawasaki,10,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F12&k_raceNo=10&k_babaCode=21,data/cache/html/20180612_kawasaki_10.html
20180612_kawasaki_11,2018-06-12,kawasaki,11,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F12&k_raceNo=11&k_babaCode=21,data/cache/html/20180612_kawasaki_11.html
20180612_kawasaki_12,2018-06-12,kawasaki,12,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F12&k_raceNo=12&k_babaCode=21,data/cache/html/20180612_kawasaki_12.html
20180613_kawasaki_1,2018-06-13,kawasaki,1,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F13&k_raceNo=1&k_babaCode=21,data/cache/html/20180613_kawasaki_1.html
20180613_kawasaki_2,2018-06-13,kawasaki,2,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F13&k_raceNo=2&k_babaCode=21,data/cache/html/20180613_kawasaki_2.html
20180613_kawasaki_3,2018-06-13,kawasaki,3,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F13&k_raceNo=3&k_babaCode=21,data/cache/html/20180613_kawasaki_3.html
20180613_kawasaki_4,2018-06-13,kawasaki,4,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F13&k_raceNo=4&k_babaCode=21,data/cache/html/20180613_kawasaki_4.html
20180613_kawasaki_5,2018-06-13,kawasaki,5,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F13&k_raceNo=5&k_babaCode=21,data/cache/html/20180613_kawasaki_5.html
20180613_kawasaki_6,2018-06-13,kawasaki,6,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F13&k_raceNo=6&k_babaCode=21,data/cache/html/20180613_kawasaki_6.html
20180613_kawasaki_7,2018-06-13,kawasaki,7,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F13&k_raceNo=7&k_babaCode=21,data/cache/html/20180613_kawasaki_7.html
20180613_kawasaki_8,2018-06-13,kawasaki,8,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F13&k_raceNo=8&k_babaCode=21,data/cache/html/20180613_kawasaki_8.html
20180613_kawasaki_9,2018-06-13,kawasaki,9,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F13&k_raceNo=9&k_babaCode=21,data/cache/html/20180613_kawasaki_9.html
20180613_kawasaki_10,2018-06-13,kawasaki,10,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F13&k_raceNo=10&k_babaCode=21,data/cache/html/20180613_kawasaki_10.html
20180613_kawasaki_11,2018-06-13,kawasaki,11,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F13&k_raceNo=11&k_babaCode=21,data/cache/html/20180613_kawasaki_11.html
20180613_kawasaki_12,2018-06-13,kawasaki,12,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F13&k_raceNo=12&k_babaCode=21,data/cache/html/20180613_kawasaki_12.html
20180614_kawasaki_1,2018-06-14,kawasaki,1,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F14&k_raceNo=1&k_babaCode=21,data/cache/html/20180614_kawasaki_1.html
20180614_kawasaki_2,2018-06-14,kawasaki,2,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F14&k_raceNo=2&k_babaCode=21,data/cache/html/20180614_kawasaki_2.html
20180614_kawasaki_3,2018-06-14,kawasaki,3,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F14&k_raceNo=3&k_babaCode=21,data/cache/html/20180614_kawasaki_3.html
20180614_kawasaki_4,2018-06-14,kawasaki,4,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F14&k_raceNo=4&k_babaCode=21,data/cache/html/20180614_kawasaki_4.html
20180614_kawasaki_5,2018-06-14,kawasaki,5,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F14&k_raceNo=5&k_babaCode=21,data/cache/html/20180614_kawasaki_5.html
20180614_kawasaki_6,2018-06-14,kawasaki,6,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F14&k_raceNo=6&k_babaCode=21,data/cache/html/20180614_kawasaki_6.html
20180614_kawasaki_7,2018-06-14,kawasaki,7,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F14&k_raceNo=7&k_babaCode=21,data/cache/html/20180614_kawasaki_7.html
20180614_kawasaki_8,2018-06-14,kawasaki,8,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F14&k_raceNo=8&k_babaCode=21,data/cache/html/20180614_kawasaki_8.html
20180614_kawasaki_9,2018-06-14,kawasaki,9,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F14&k_raceNo=9&k_babaCode=21,data/cache/html/20180614_kawasaki_9.html
20180614_kawasaki_10,2018-06-14,kawasaki,10,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F14&k_raceNo=10&k_babaCode=21,data/cache/html/20180614_kawasaki_10.html
20180614_kawasaki_11,2018-06-14,kawasaki,11,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F14&k_raceNo=11&k_babaCode=21,data/cache/html/20180614_kawasaki_11.html
20180614_kawasaki_12,2018-06-14,kawasaki,12,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F14&k_raceNo=12&k_babaCode=21,data/cache/html/20180614_kawasaki_12.html
20180615_kawasaki_1,2018-06-15,kawasaki,1,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F15&k_raceNo=1&k_babaCode=21,data/cache/html/20180615_kawasaki_1.html
20180615_kawasaki_2,2018-06-15,kawasaki,2,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F15&k_raceNo=2&k_babaCode=21,data/cache/html/20180615_kawasaki_2.html
20180615_kawasaki_3,2018-06-15,kawasaki,3,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F15&k_raceNo=3&k_babaCode=21,data/cache/html/20180615_kawasaki_3.html
20180615_kawasaki_4,2018-06-15,kawasaki,4,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F15&k_raceNo=4&k_babaCode=21,data/cache/html/20180615_kawasaki_4.html
20180615_kawasaki_5,2018-06-15,kawasaki,5,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F15&k_raceNo=5&k_babaCode=21,data/cache/html/20180615_kawasaki_5.html
20180615_kawasaki_6,2018-06-15,kawasaki,6,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F15&k_raceNo=6&k_babaCode=21,data/cache/html/20180615_kawasaki_6.html
20180615_kawasaki_7,2018-06-15,kawasaki,7,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F15&k_raceNo=7&k_babaCode=21,data/cache/html/20180615_kawasaki_7.html
20180615_kawasaki_8,2018-06-15,kawasaki,8,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F15&k_raceNo=8&k_babaCode=21,data/cache/html/20180615_kawasaki_8.html
20180615_kawasaki_9,2018-06-15,kawasaki,9,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F15&k_raceNo=9&k_babaCode=21,data/cache/html/20180615_kawasaki_9.html
20180615_kawasaki_10,2018-06-15,kawasaki,10,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F15&k_raceNo=10&k_babaCode=21,data/cache/html/20180615_kawasaki_10.html
20180615_kawasaki_11,2018-06-15,kawasaki,11,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F15&k_raceNo=11&k_babaCode=21,data/cache/html/20180615_kawasaki_11.html
20180615_kawasaki_12,2018-06-15,kawasaki,12,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F06%2F15&k_raceNo=12&k_babaCode=21,data/cache/html/20180615_kawasaki_12.html
20180514_kawasaki_1,2018-05-14,kawasaki,1,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F05%2F14&k_raceNo=1&k_babaCode=21,data/cache/html/20180514_kawasaki_1.html
20180514_kawasaki_2,2018-05-14,kawasaki,2,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F05%2F14&k_raceNo=2&k_babaCode=21,data/cache/html/20180514_kawasaki_2.html
20180514_kawasaki_3,2018-05-14,kawasaki,3,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F05%2F14&k_raceNo=3&k_babaCode=21,data/cache/html/20180514_kawasaki_3.html
20180514_kawasaki_4,2018-05-14,kawasaki,4,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F05%2F14&k_raceNo=4&k_babaCode=21,data/cache/html/20180514_kawasaki_4.html
20180514_kawasaki_5,2018-05-14,kawasaki,5,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F05%2F14&k_raceNo=5&k_babaCode=21,data/cache/html/20180514_kawasaki_5.html
20180514_kawasaki_6,2018-05-14,kawasaki,6,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F05%2F14&k_raceNo=6&k_babaCode=21,data/cache/html/20180514_kawasaki_6.html
20180514_kawasaki_7,2018-05-14,kawasaki,7,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F05%2F14&k_raceNo=7&k_babaCode=21,data/cache/html/20180514_kawasaki_7.html
20180514_kawasaki_8,2018-05-14,kawasaki,8,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F05%2F14&k_raceNo=8&k_babaCode=21,data/cache/html/20180514_kawasaki_8.html
20180514_kawasaki_9,2018-05-14,kawasaki,9,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F05%2F14&k_raceNo=9&k_babaCode=21,data/cache/html/20180514_kawasaki_9.html
20180514_kawasaki_10,2018-05-14,kawasaki,10,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F05%2F14&k_raceNo=10&k_babaCode=21,data/cache/html/20180514_kawasaki_10.html
20180514_kawasaki_11,2018-05-14,kawasaki,11,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F05%2F14&k_raceNo=11&k_babaCode=21,data/cache/html/20180514_kawasaki_11.html
20180514_kawasaki_12,2018-05-14,kawasaki,12,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F05%2F14&k_raceNo=12&k_babaCode=21,data/cache/html/20180514_kawasaki_12.html
20180515_kawasaki_1,2018-05-15,kawasaki,1,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2018%2F05%2F15&k_raceNo=1&k_babaCode=21,data/cache/html/20180515_kawasaki_1.html
