race_id,date,track,race_no,official_url,cache_html_path
20260330_oi_1,2026-03-30,oi,1,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F03%2F30&k_raceNo=1&k_babaCode=20,data/cache/html/20260330_oi_1.html
20260330_oi_2,2026-03-30,oi,2,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F03%2F30&k_raceNo=2&k_babaCode=20,data/cache/html/20260330_oi_2.html
20260330_oi_3,2026-03-30,oi,3,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F03%2F30&k_raceNo=3&k_babaCode=20,data/cache/html/20260330_oi_3.html
20260330_oi_4,2026-03-30,oi,4,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F03%2F30&k_raceNo=4&k_babaCode=20,data/cache/html/20260330_oi_4.html
20260330_oi_5,2026-03-30,oi,5,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F03%2F30&k_raceNo=5&k_babaCode=20,data/cache/html/20260330_oi_5.html
20260330_oi_6,2026-03-30,oi,6,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F03%2F30&k_raceNo=6&k_babaCode=20,data/cache/html/20260330_oi_6.html
20260330_oi_7,2026-03-30,oi,7,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F03%2F30&k_raceNo=7&k_babaCode=20,data/cache/html/20260330_oi_7.html
20260330_oi_8,2026-03-30,oi,8,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F03%2F30&k_raceNo=8&k_babaCode=20,data/cache/html/20260330_oi_8.html
20260330_oi_9,2026-03-30,oi,9,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F03%2F30&k_raceNo=9&k_babaCode=20,data/cache/html/20260330_oi_9.html
20260330_oi_10,2026-03-30,oi,10,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F03%2F30&k_raceNo=10&k_babaCode=20,data/cache/html/20260330_oi_10.html
20260330_oi_11,2026-03-30,oi,11,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F03%2F30&k_raceNo=11&k_babaCode=20,data/cache/html/20260330_oi_11.html
20260330_oi_12,2026-03-30,oi,12,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F03%2F30&k_raceNo=12&k_babaCode=20,data/cache/html/20260330_oi_12.html
20260329_oi_1,2026-03-29,oi,1,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F03%2F29&k_raceNo=1&k_babaCode=20,data/cache/html/20260329_oi_1.html
20260329_oi_2,2026-03-29,oi,2,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F03%2F29&k_raceNo=2&k_babaCode=20,data/cache/html/20260329_oi_2.html
20260329_oi_3,2026-03-29,oi,3,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F03%2F29&k_raceNo=3&k_babaCode=20,data/cache/html/20260329_oi_3.html
20260329_oi_4,2026-03-29,oi,4,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F03%2F29&k_raceNo=4&k_babaCode=20,data/cache/html/20260329_oi_4.html
20260329_oi_5,2026-03-29,oi,5,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2026%2F03%2F29&k_raceNo=5&k_babaCode=20,data/cache/html/20260329_oi_5.html
