race_id,date,track,race_no,official_url,cache_html_path
19860908_kawasaki_1,1986-09-08,kawasaki,1,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=1986%2F09%2F08&k_raceNo=1&k_babaCode=21,data/cache/html/19860908_kawasaki_1.html
19860908_kawasaki_2,1986-09-08,kawasaki,2,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=1986%2F09%2F08&k_raceNo=2&k_babaCode=21,data/cache/html/19860908_kawasaki_2.html
19860908_kawasaki_3,1986-09-08,kawasaki,3,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=1986%2F09%2F08&k_raceNo=3&k_babaCode=21,data/cache/html/19860908_kawasaki_3.html
19860908_kawasaki_4,1986-09-08,kawasaki,4,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=1986%2F09%2F08&k_raceNo=4&k_babaCode=21,data/cache/html/19860908_kawasaki_4.html
19860908_kawasaki_5,1986-09-08,kawasaki,5,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=1986%2F09%2F08&k_raceNo=5&k_babaCode=21,data/cache/html/19860908_kawasaki_5.html
19860908_kawasaki_6,1986-09-08,kawasaki,6,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=1986%2F09%2F08&k_raceNo=6&k_babaCode=21,data/cache/html/19860908_kawasaki_6.html
19860908_kawasaki_7,1986-09-08,kawasaki,7,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=1986%2F09%2F08&k_raceNo=7&k_babaCode=21,data/cache/html/19860908_kawasaki_7.html
19860908_kawasaki_8,1986-09-08,kawasaki,8,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=1986%2F09%2F08&k_raceNo=8&k_babaCode=21,data/cache/html/19860908_kawasaki_8.html
19860908_kawasaki_9,1986-09-08,kawasaki,9,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=1986%2F09%2F08&k_raceNo=9&k_babaCode=21,data/cache/html/19860908_kawasaki_9.html
19860908_kawasaki_10,1986-09-08,kawasaki,10,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=1986%2F09%2F08&k_raceNo=10&k_babaCode=21,data/cache/html/19860908_kawasaki_10.html
19860908_kawasaki_11,1986-09-08,kawasaki,11,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=1986%2F09%2F08&k_raceNo=11&k_babaCode=21,data/cache/html/19860908_kawasaki_11.html
19860908_kawasaki_12,1986-09-08,kawasaki,12,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=1986%2F09%2F08&k_raceNo=12&k_babaCode=21,data/cache/html/19860908_kawasaki_12.html
19860907_kawasaki_1,1986-09-07,kawasaki,1,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=1986%2F09%2F07&k_raceNo=1&k_babaCode=21,data/cache/html/19860907_kawasaki_1.html
19860907_kawasaki_2,1986-09-07,kawasaki,2,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=1986%2F09%2F07&k_raceNo=2&k_babaCode=21,data/cache/html/19860907_kawasaki_2.html
19860907_kawasaki_3,1986-09-07,kawasaki,3,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=1986%2F09%2F07&k_raceNo=3&k_babaCode=21,data/cache/html/19860907_kawasaki_3.html
19860907_kawasaki_4,1986-09-07,kawasaki,4,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=1986%2F09%2F07&k_raceNo=4&k_babaCode=21,data/cache/html/19860907_kawasaki_4.html
19860907_kawasaki_5,1986-09-07,kawasaki,5,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=1986%2F09%2F07&k_raceNo=5&k_babaCode=21,data/cache/html/19860907_kawasaki_5.html
19860907_kawasaki_6,1986-09-07,kawasaki,6,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=1986%2F09%2F07&k_raceNo=6&k_babaCode=21,data/cache/html/19860907_kawasaki_6.html
19860907_kawasaki_7,1986-09-07,kawasaki,7,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=1986%2F09%2F07&k_raceNo=7&k_babaCode=21,data/cache/html/19860907_kawasaki_7.html
19860907_kawasaki_8,1986-09-07,kawasaki,8,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=1986%2F09%2F07&k_raceNo=8&k_babaCode=21,data/cache/html/19860907_kawasaki_8.html
19860907_kawasaki_9,1986-09-07,kawasaki,9,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=1986%2F09%2F07&k_raceNo=9&k_babaCode=21,data/cache/html/19860907_kawasaki_9.html
19860907_kawasaki_10,1986-09-07,kawasaki,10,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=1986%2F09%2F07&k_raceNo=10&k_babaCode=21,data/cache/html/19860907_kawasaki_10.html
19860907_kawasaki_11,1986-09-07,kawasaki,11,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=1986%2F09%2F07&k_raceNo=11&k_babaCode=21,data/cache/html/19860907_kawasaki_11.html
19860907_kawasaki_12,1986-09-07,kawasaki,12,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=1986%2F09%2F07&k_raceNo=12&k_babaCode=21,data/cache/html/19860907_kawasaki_12.html
19860906_kawasaki_1,1986-09-06,kawasaki,1,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=1986%2F09%2F06&k_raceNo=1&k_babaCode=21,data/cache/html/19860906_kawasaki_1.html
19860906_kawasaki_2,1986-09-06,kawasaki,2,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=1986%2F09%2F06&k_raceNo=2&k_babaCode=21,data/cache/html/19860906_kawasaki_2.html
19860906_kawasaki_3,1986-09-06,kawasaki,3,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=1986%2F09%2F06&k_raceNo=3&k_babaCode=21,data/cache/html/19860906_kawasaki_3.html
19860906_kawasaki_4,1986-09-06,kawasaki,4,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=1986%2F09%2F06&k_raceNo=4&k_babaCode=21,data/cache/html/19860906_kawasaki_4.html
19860906_kawasaki_5,1986-09-06,kawasaki,5,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=1986%2F09%2F06&k_raceNo=5&k_babaCode=21,data/cache/html/19860906_kawasaki_5.html
